mid,det_lmin2,det_lmin8
2024.10.14startup_a,96.68458781362007,42.33870967741935
2024.10.14startup_a,98.20143884892086,46.76258992805755
2024.10.14startup_a,98.14814814814815,55.18518518518518
2024.10.14startup_a,98.14814814814815,54.20875420875421
2024.10.14startup_a,98.589001447178,69.50072358900145
2024.10.14startup_a,98.98945518453426,70.38664323374341
2024.10.14startup_a,99.1130820399113,77.60532150776054
2024.10.14startup_a,97.24356077722548,72.75192046995029
2024.10.14startup_a,99.10594546267322,77.78274474742959
2024.10.14startup_a,99.11504424778761,69.02654867256638
2024.10.14startup_a,99.18144611186904,79.21782628467486
2024.10.14startup_a,98.80611270296085,69.48424068767908
2024.10.14startup_a,99.1509069857198,70.28174450019297
2024.10.14startup_a,96.17240270183339,70.18333869411386
2024.10.14startup_a,96.8160741885626,73.29211746522411
2024.10.14startup_a,95.52180685358256,75.58411214953271
2024.10.14startup_a,92.38891333040036,63.96832380114386
2024.10.14startup_a,93.62745098039215,53.75816993464052
2024.10.14startup_a,94.91124260355029,70.82840236686391
2024.10.14startup_a,93.74225526641884,70.07434944237919
2024.10.14startup_a,97.34513274336283,77.80803267528931
2024.10.14startup_a,98.21109123434705,81.09719737626715
2024.10.14startup_a,97.95003203074953,77.00192184497118
2024.10.14startup_a,97.4102413184226,83.343143025309
2024.10.14startup_a,97.38751814223512,87.71165940977262
2024.10.14startup_a,97.47360482654601,93.21266968325791
2024.10.14startup_a,99.82337356491021,97.52722990874301
2024.10.14startup_a,99.80994615140956,94.01330376940133
2024.10.14startup_a,99.7869101978691,92.45053272450532
2024.10.14startup_a,99.90003332222592,97.20093302232588
2024.10.14startup_a,99.82214317474433,95.02000889284126
2024.10.14startup_a,98.08070866141732,86.07283464566929
2024.10.14startup_a,97.48883928571429,77.62276785714286
2024.10.14startup_a,96.26024590163935,66.90573770491804
2024.10.14startup_a,96.79380873410724,65.83747927031509
2024.10.14startup_a,97.93408755533694,72.45450073782587
2024.10.14startup_a,98.27826896230805,78.54816193578408
2024.10.14startup_a,97.3345588235294,70.40441176470588
2024.10.14startup_a,96.97493517718237,46.93171996542783
2024.10.14startup_a,97.96594134342479,56.480605487228004
2024.10.14startup_a,98.5451433461703,68.20710312366282
2024.10.14startup_a,99.16072177926983,75.49307595467897
2024.10.14startup_a,99.25567547450689,84.81577967994045
2024.10.14startup_a,99.42906080502426,94.00513845275478
2024.10.14startup_a,99.91706406800746,97.96806966618287
2024.10.14startup_a,99.96902106567534,99.33395291201983
2024.10.14startup_a,99.97103128621089,99.57995365005793
2024.10.14startup_a,99.94283536585365,98.8185975609756
2024.10.14startup_a,99.92378048780488,97.86585365853658
2024.10.14startup_a,99.90433673469387,97.32142857142857
2024.10.14startup_a,99.89466292134831,97.0505617977528
2024.10.14startup_a,99.81426448736998,96.61961367013373
2024.10.14startup_a,99.75990396158464,94.74789915966386
2024.10.14startup_a,99.82158786797503,96.3871543264942
2024.10.14startup_a,99.88348868175765,97.91944074567243
2024.10.14startup_a,99.90694789081886,98.15446650124069
2024.10.14startup_a,99.90694789081886,98.15446650124069
2024.10.14startup_a,99.90694789081886,98.15446650124069
2024.10.14startup_a,97.9492003762935,93.11382878645344
2024.10.14startup_a,99.91583908432924,97.64349436121864
2024.10.14startup_a,99.91583908432924,97.64349436121864
2024.10.14startup_a,99.91583908432924,97.64349436121864
2024.10.14startup_a,99.82500486097608,96.57787283686564
2024.10.14startup_a,99.62447537000222,91.628009719461
2024.10.14startup_a,99.31689931689932,84.05108405108405
2024.10.14startup_a,99.3941433860653,83.54089532144059
2024.10.14startup_a,99.19276719405876,72.48950597352277
2024.10.14startup_a,99.05776321179845,64.60467021712412
2024.10.14startup_a,98.8132911392405,60.68037974683544
2024.10.14startup_a,98.8132911392405,61.15506329113924
2024.10.14startup_a,97.77327935222672,73.19838056680162
2024.10.14startup_a,99.5221027479092,78.85304659498208
2024.10.14startup_a,99.47069943289225,75.99243856332703
2024.10.14startup_a,99.65973534971644,81.05860113421551
2024.10.14startup_a,99.7921718046415,94.1808105299619
2024.10.14startup_a,99.86068542769574,96.09919197548064
2024.10.14startup_a,99.65859714463066,82.09186840471757
2024.10.14startup_a,99.56548727498448,79.48479205462446
2024.10.14startup_a,99.56548727498448,79.48479205462446
2024.10.14startup_a,99.65244865718799,82.52764612954186
2024.10.14startup_a,99.65244865718799,86.57187993680884
2024.10.14startup_a,99.70084307859668,91.92276312211041
2024.10.14startup_a,99.76600723250372,96.40502020846628
2024.10.14startup_a,99.8452810727179,97.47292418772564
2024.10.14startup_a,99.87187700192185,97.82190903267137
2024.10.14startup_a,99.8088360237893,95.3695836873407
2024.10.14startup_a,99.74690663667042,93.8695163104612
2024.10.14startup_a,99.43009118541033,86.74012158054711
2024.10.14startup_a,99.23469387755102,81.53061224489795
2024.10.14startup_a,98.9795918367347,74.38775510204081
2024.10.14startup_a,96.64893617021276,74.8936170212766
2024.10.14startup_a,98.72340425531915,67.76595744680851
2024.10.14startup_a,97.48995983935743,74.04618473895583
2024.10.14startup_a,97.48251748251748,66.62004662004662
2024.10.14startup_a,96.9012837538734,62.81540504648074
2024.10.14startup_a,96.82753965575431,60.61424232197098
2024.10.14startup_a,97.38396624472574,67.28551336146273
2024.10.14startup_a,97.53158977372907,70.0852189244784
2024.10.14startup_a,97.01331414177761,66.06693055055776
