second,entropy_g,det_g,rmse_g
30,-0.0,99.61432506887053,
31,-0.0,99.61432506887053,
32,-0.0,99.61432506887053,
33,-0.0,99.61432506887053,
34,-0.0,99.61432506887053,
35,-0.0,99.61432506887053,
36,-0.0,99.61432506887053,
37,-0.0,99.61432506887053,
38,-0.0,99.61432506887053,
39,-0.0,99.61432506887053,
40,-0.0,99.61432506887053,
41,-0.0,99.61432506887053,
42,-0.0,99.61432506887053,
43,-0.0,99.61432506887053,
44,-0.0,99.61432506887053,
45,-0.0,99.61432506887053,
46,-0.0,99.61432506887053,
47,-0.0,99.61432506887053,
48,-0.0,99.61432506887053,
49,-0.0,99.61432506887053,
50,-0.0,99.61432506887053,
51,-0.0,99.61432506887053,0.4143431682295524
52,-0.0,99.61432506887053,0.44822634157750885
53,-0.0,99.61432506887053,0.48238762240421285
54,-0.0,99.61432506887053,0.5168610540524289
55,-0.0,99.61432506887053,0.5516548641716155
56,-0.0,99.61432506887053,0.5867555538372966
57,-0.0,99.61432506887053,0.622130752081847
58,-0.0,99.61432506887053,0.6577313748585882
59,-0.0,99.61432506887053,0.6934934252606144
60,2.429609566376967,99.58701224722302,0.729339652936512
61,4.190046201482249,99.49941107184924,0.7649942848130461
62,5.692780305338156,99.3455098934551,0.7996004359455369
63,7.025161811125574,99.11894273127753,0.8312175974522213
64,8.2285966275191,99.08943089430895,0.8561356954004947
65,9.32740666130365,99.05913978494624,0.8789002039864654
66,10.337605827520125,99.02811523776467,0.8996198298742206
67,11.270524356245133,98.99641577060932,0.9183281763650394
68,12.134586344527737,98.96411394746578,0.9350093322564013
69,12.936285959429323,98.93129770992367,0.9496151121347898
70,13.680768712780832,98.89807162534436,0.9620771608018416
71,14.372199338969718,98.86455798864559,0.9723157367974409
72,15.014005991259088,98.83089770354906,0.9802462365226308
73,15.60904867100266,98.79725085910653,0.9857841018973862
74,16.159739104775046,98.76379690949227,0.9888485170743382
75,16.668128323010997,98.73073436083409,0.9893651629229404
76,17.135972060971078,98.69827986982799,0.987268217476211
77,17.564780510181492,98.66666666666667,0.982501740830611
78,17.955856759929738,98.63614223088163,0.9750205490134155
79,18.310326889434187,98.60696517412936,0.9647906540126396
80,18.62916377645072,98.57940131912734,0.9517893211033744
81,18.913206092012803,98.55371900826447,0.9360047666548252
82,19.163173544530956,98.53018372703411,0.9174824545548435
83,19.37967915328416,98.5090521831736,0.8963835705723384
84,19.563239130026,98.49056603773585,0.8729999629521084
85,19.714280801519912,98.47494553376906,0.8477707244878094
86,19.83314889797155,98.46238330587589,0.8208100020779323
87,19.92011045093398,98.45303867403315,0.7922540366314355
88,19.975358481377192,98.44703272323905,0.7622607934286054
89,19.999014608657646,98.44444444444444,0.7310096418460537
90,19.991130670064635,98.44530816213215,0.6987011371418836
91,19.95168940542738,98.44961240310077,0.6655569894407186
92,19.88060422953913,98.4573002754821,0.6318203390669886
93,19.777718084851784,98.46827133479212,0.5977564874368527
94,19.64280133612099,98.48238482384824,0.5636542489193351
95,19.475548635493265,98.49946409431939,0.5298280733454359
96,19.27557464873301,98.5193019566367,0.4992389632200183
97,19.04240848821125,98.54166666666667,0.4771148936622971
98,18.775486642443035,98.5663082437276,0.4637349709068572
99,18.474144120643885,98.5929648241206,0.45663041401244686
100,18.13760343734139,98.62136878385031,0.4525588272176795
101,17.76496093694858,98.65125240847784,0.4510690320119256
102,17.355169787234992,98.68235294117648,0.4520974761276019
103,16.907018732448726,98.71441689623508,0.45549963770426777
104,16.419105358440014,98.74720357941834,0.46106438260054655
105,15.88980213128614,98.78048780487805,0.4685325339069985
106,15.317212742828824,98.81406183820415,0.47761655984320783
107,14.699115189525093,98.8477366255144,0.488018714692217
108,14.03288628059905,98.88134238913304,0.4994459172396135
109,13.31539948006603,98.91472868217055,0.511620681972398
110,12.542883317967812,98.94776399849681,0.5242882229693301
111,11.710719458230837,98.98033503277495,0.5372203208514365
112,10.813144560727114,99.01234567901234,0.550216717788956
113,9.842790932353244,99.04371584699453,0.5631047838401472
114,8.789939738430267,99.07438016528926,0.5757380778155468
115,7.641219078808836,99.10428662827896,0.5879942769670489
116,6.377108370420191,99.24172082946457,0.5997728108631574
117,4.966448892725745,99.4311377245509,0.6105666357175896
118,3.3513527906388765,99.5511149724877,0.6176574105959958
119,1.3810876425130094,99.6078431372549,0.620642362570204
120,-0.0,99.61432506887053,0.6209119096121453
121,-0.0,99.61432506887053,0.6202663101723481
122,-0.0,99.61432506887053,0.6190056032943602
123,-0.0,99.61432506887053,0.6171790156576682
124,-0.0,99.61432506887053,0.6148322278344134
125,-0.0,99.61432506887053,0.6120077531035564
126,-0.0,99.61432506887053,0.6087452470474857
127,-0.0,99.61432506887053,0.6050817633485521
128,-0.0,99.61432506887053,0.6010519678135684
129,-0.0,99.61432506887053,0.5966883199971467
130,-0.0,99.61432506887053,0.5920212296994909
131,-0.0,99.61432506887053,0.5870791939588592
