second,entropy_g,det_g,rmse_g
30,38.83574590074223,72.79033915724563,
31,37.33314654344687,73.8484398216939,
32,35.67917349733399,74.97614503816794,
33,34.78756264946387,75.49157303370787,
34,34.78756264946387,75.49157303370787,
35,35.67917349733399,75.0,
36,37.33314654344687,73.92273402674591,
37,38.83574590074223,72.91880781089414,
38,40.20569787835004,71.52370804475227,
39,41.456874887214646,70.19867549668874,
40,42.04134593768273,67.60247052217855,
41,42.54303715137613,64.679029957204,
42,43.48012688069483,62.70238445687371,
43,43.48012688069483,58.787165145716806,
44,43.48012688069483,55.25463644392111,
45,43.48012688069483,51.89873417721519,
46,44.02341433785071,49.70059880239521,
47,44.541592093750076,47.03196347031963,
48,44.541592093750076,43.592085235920855,
49,44.541592093750076,40.273972602739725,
50,44.541592093750076,37.077625570776256,
51,44.541592093750076,38.660578386605785,
52,44.541592093750076,41.917808219178085,
53,44.9677146291078,44.25216316440049,
54,45.758470498736244,45.5470737913486,
55,45.758470498736244,44.43384223918575,
56,45.856306732216325,44.45506692160612,
57,45.506041095951865,43.57120402389186,
58,44.61079888275821,42.12130448034136,
59,44.12962536892055,39.532093581283746,
60,44.12962536892055,36.59268146370726,
61,44.12962536892055,42.26154769046191,
62,44.12962536892055,42.26154769046191,
63,44.12962536892055,42.26154769046191,
64,44.12962536892055,42.26154769046191,
65,44.12962536892055,42.26154769046191,
66,44.12962536892055,42.26154769046191,
67,44.12962536892055,42.26154769046191,
68,44.12962536892055,42.26154769046191,
69,44.12962536892055,38.12237552489502,
70,44.12962536892055,41.09178164367127,23.13067960957751
71,44.12962536892055,44.00119976004799,24.193345815754594
72,44.12962536892055,47.510497900419914,24.81575698275173
73,43.13358599189974,49.50638792102207,25.474438667848908
74,42.04134593768273,51.37563166760247,26.322520001526808
75,40.968044814977326,52.743074416078215,27.240384451137142
76,39.79573427422047,54.46194225721785,28.194848679843403
77,38.51599450424722,56.056766345666496,28.933321782561613
78,37.11814810080143,57.530562347188265,29.903187507770433
79,35.5882920871827,58.88731730315889,30.69223616756594
80,35.5882920871827,62.187647336162186,30.67284022007186
81,35.5882920871827,65.7944365865158,30.773093406233894
82,34.29981637550168,67.18322698268004,31.469856824888886
83,32.90032801921388,68.45002201673272,31.377065084488116
84,32.155275482458826,70.83513630463003,28.526571251455273
85,32.155275482458826,74.44829078321074,28.573883954195793
86,30.432136683304265,75.37562604340567,29.792251784142707
87,29.50649946698299,75.65573770491804,31.226902283881348
88,29.50649946698299,75.65573770491804,32.54676744849883
89,29.50649946698299,75.65573770491804,33.75741095524339
90,29.50649946698299,75.65573770491804,34.22780410862182
91,29.50649946698299,75.65573770491804,34.83650146366632
92,29.50649946698299,67.99180327868852,41.40839108220946
93,29.50649946698299,71.25,37.76762033270634
94,29.50649946698299,74.75409836065573,37.34044668119418
95,29.50649946698299,78.34016393442623,38.593727739360695
96,27.891999369454208,78.87965162311956,
97,26.128501616330293,79.66360856269114,
98,24.189365292168464,80.35055350553506,
99,22.034100140280742,80.94729344729345,
100,19.593740072614466,81.46048109965636,
101,19.593740072614466,84.87972508591065,
102,17.515536850719048,85.40352042510794,
103,16.38912273857775,87.33268037871368,
104,16.38912273857775,90.77701599738818,
105,16.38912273857775,94.28664707802808,
106,16.38912273857775,97.86157362063337,
107,13.496543788700492,97.98234552332913,
108,13.496543788700492,97.98234552332913,
