mid,bin,entropy_g,det_g,rmse_g,sem_det,sem_rec,coh,nov,word_entropy,ttr,mtld,hapax,lsm,turn_len,latency,transition_entropy,n_turns,connective,content_overlap,words_per_turn,liwc_lsm,lsm_curated_backup
2024.10.14startup_a,0,43.2546802953239,62.56207384106329,6.189409046145435,54.54545454545455,24.175824175824175,0.2027217430675661,0.616728133638814,5.702386559942294,0.6090909090909091,29.104341895885423,0.746268656716418,0.4583987965400617,7.857142857142857,2.9615384615384617,2.6612262562697895,14,0.109090909090909,0.0,7.857142857142857,0.4583987965400617,0.1103761308122335
2024.10.14startup_a,90,43.805555899535726,72.07013806667351,6.857969266192371,50.0,11.11111111111111,0.0613472697147213,0.8827090276123593,6.484734575316913,0.6959459459459459,84.15302161661768,0.7378640776699029,0.4257984481993501,16.444444444444443,2.111111111111111,1.811278124459133,9,0.1283783783783783,0.00625,16.444444444444443,0.4257984481993501,0.1981238870485952
2024.10.14startup_a,180,46.23488367367145,87.01284641673092,8.262234502259401,0.0,3.5714285714285716,0.0168778301716544,0.819807772940973,6.279599758267412,0.5975609756097561,52.87783595113438,0.7040816326530612,0.3503895958179973,20.5,-0.3125,2.5216406363433186,8,0.2012195121951219,0.0086580086580086,20.5,0.3503895958179973,0.1410808289293482
2024.10.14startup_a,270,49.62588899203279,69.9401387964665,9.940245200639596,42.857142857142854,25.454545454545453,0.133048470163212,0.7513146332235899,6.017109844223439,0.5428571428571428,37.56192653826987,0.6842105263157895,0.6369051429386179,15.909090909090908,0.5454545454545454,2.1709505944546685,11,0.2342857142857143,0.1716666666666667,15.909090909090908,0.6369051429386179,0.3877985536390115
2024.10.14startup_a,360,28.361665808469095,95.32461463688948,6.8038926312499255,0.0,66.66666666666667,0.1559878575312765,0.8042466103987053,6.406524021210811,0.5778894472361809,58.99943543240778,0.7217391304347827,0.7168786888723252,66.33333333333333,3.1666666666666665,1.0,3,0.236180904522613,0.0394056847545219,66.33333333333333,0.7168786888723252,0.4639839603344553
2024.10.14startup_a,450,14.79478620051798,96.14973897562768,4.437520183105506,0.0,10.0,0.0529383358524475,0.8233743437816277,6.403667159180472,0.5544041450777202,63.96678419136012,0.6074766355140186,0.4085308194107256,38.6,-2.6,2.0,5,0.2072538860103626,0.0189102564102564,38.6,0.4085308194107256,0.1514775002056362
2024.10.14startup_a,540,37.86027369367796,75.49555316608891,9.14042016131832,100.0,13.333333333333334,0.0070971899065934,0.8361141510623386,5.882466534900558,0.68,79.40691927512356,0.7205882352941176,0.412062398082095,16.666666666666668,4.833333333333333,1.521928094887362,6,0.18,0.0,16.666666666666668,0.412062398082095,0.1996407536255711
2024.10.14startup_a,630,26.540426551688576,88.86397911557813,5.937500399144091,0.0,16.666666666666668,0.0453491793319962,0.8895580809023748,6.064137109829526,0.625,77.5157314942316,0.675,0.4137554695883912,32.0,8.75,1.584962500721156,4,0.15625,0.0098039215686274,32.0,0.4137554695883912,0.195797709471426
2024.10.14startup_a,720,45.99296319108938,71.20510802661262,8.05475066936087,0.0,8.974358974358974,0.0855094328248099,0.8172608196533283,6.1465736516162925,0.5609756097560976,41.0,0.6630434782608695,0.5223929823915726,12.615384615384617,0.0,2.2295739585136225,13,0.2134146341463414,0.032051282051282,12.615384615384617,0.5223929823915726,0.2405070901148231
2024.10.14startup_a,810,37.23024459487116,78.98928872154151,6.1899780953786845,0.0,13.333333333333334,0.0627955820368993,0.8839653960233762,6.245864648336088,0.6953125,101.19876647042337,0.7640449438202247,0.5526263039442904,21.333333333333332,3.4166666666666665,0.9709505944546686,6,0.1875,0.0455263157894736,21.333333333333332,0.5526263039442904,0.2081384848982592
