label,auc,ci_lo,ci_hi,n_rows,n_meetings
FULL,0.6819612349900306,0.6469628902167579,0.7154360279322766,1443,34
BEHAVIORAL,0.6628081688344913,0.6218307277331344,0.7043575389020479,1443,34
