mid,date,team,axis_cont,axis_event,Ctopic,Cl10,Cinterior,axis_CACS,axis_IAM,axis_Mercer,axis_Bales,axis_act4teams,axis_ISO,week
2024.10.14startup_a,20241014,startup_a,0.16653086770793823,0.30198494346707755,0.09276063490454757,1.066778211633516,-0.09465683553278983,0.0930601916557321,0.3524295998802996,0.2578162794299565,0.19088796404734903,0.43245257936193676,0.2940390098998556,0
2024.10.25startup_a,20241025,startup_a,0.22690564079938874,0.3111991658712282,0.16903603107162396,0.9432628084817027,-0.12120358929352035,0.3992857912841089,0.6895965833829841,0.724696024178362,0.16511642847901817,0.0030672947679143948,0.2273807265441471,1
2024.11.04startup_a,20241104,startup_a,0.20898865700211092,0.5153449751733337,0.11258858068664386,1.0312522005857585,-0.08956040265566882,0.9648877048033122,0.6787788212500014,0.8510388296610301,0.5332098047986633,0.29683744121853306,-0.0216314492321439,2
2024.11.11startup_a,20241111,startup_a,0.1987950659470482,0.9024543241350436,0.05768312959575239,0.8225863576382504,-0.08407329437843523,1.4603972034521746,0.43849720050283314,0.7893659501063934,0.5478537614239926,1.1325903380829618,0.5429975899633914,3
2024.11.18startup_a,20241118,startup_a,0.18157926178666833,0.015084517100397673,0.0870517253760444,1.2145254859352865,-0.11701759996439416,-0.032164207981839575,-0.4113360280108234,-0.06911671423786926,0.22544392440048794,-0.09794383177410035,0.0904738810753083,4
2024.12.09startup_a,20241209,startup_a,0.2730497376904726,0.5620916925505138,0.21985609587760363,0.5535020568291852,-0.12105121933125576,0.7599821256965998,0.6277701309235408,0.2174366652080627,0.5291099396216773,0.3124435601952624,0.7385854129990927,5
2024.12.13startup_a,20241213,startup_a,0.3268183144497626,0.6387728754423612,0.2152270294882166,0.44936673225284324,-0.1316538364395186,0.9940103654606351,0.7120624407220215,1.0205171261060948,0.6921444348399265,0.3736697541907813,0.3080367179671191,6
2024.12.23startup_a,20241223,startup_a,0.35236838614118615,0.8434130741531433,0.16477264627115143,0.6568305050425011,-0.09025620099653343,1.4546983230021924,1.1110922551262745,0.6053569466371118,0.7705213127960784,0.7437074098632381,0.16872810039272912,7
2025.01.06startup_a,20250106,startup_a,0.13285800456084632,0.4601199691662762,0.057603176942872404,0.8576828806769543,-0.07161533266285061,0.7219601823678161,-0.03820173221208969,0.35328850934983674,0.33638512178556257,0.5226013383813783,0.23848627599043387,8
2025.01.13startup_a,20250113,startup_a,0.1454313891673533,0.5525630657495842,0.046428637615101916,0.9586213628389013,-0.053259248219711175,0.7000600760620265,0.7260660214306092,0.9954316240782335,0.4339945750494318,0.41299152340705564,0.44556667991862586,9
2025.02.24startup_a,20250224,startup_a,0.2762420831785662,0.5727484739829314,0.20100809979674283,0.7256339004954795,-0.08444450671579143,0.9122510137380949,0.7253985250216706,0.9150422860846663,0.5751653029588217,0.44908380963717204,0.3198267797039808,10
2025.03.02startup_a,20250302,startup_a,0.29294118461931345,0.3136116077000787,0.3142081465053978,0.3810099041380675,-0.09645899902530247,0.3891307775702811,1.191080367531444,0.2508882079659398,0.19632156909940543,0.2481396198407132,0.20197819447169202,11
2025.03.17startup_a,20250317,startup_a,0.2555845082210892,0.27496372534984836,0.14294698008875406,0.553572464425264,-0.07220041298135955,0.36716243899088785,-0.4466733362220102,1.418268612701594,0.12549259296912482,0.34394433802845775,0.21387802427255664,12
2025.03.25startup_a,20250325,startup_a,0.23154982635443558,0.5058527377590226,0.0705589664651432,0.39519093923886967,-0.03296440599438722,0.7632205451330764,-0.009685930739701483,0.27455458234658653,0.4065493359646098,0.4975977377589305,0.3344825921054925,13
2025.03.31startup_a,20250331,startup_a,0.20538613851196397,0.38668729073946406,0.31237971409692405,0.6341243488126181,-0.12329666114218374,0.6246484824769901,0.30602093200863767,0.46032962970044544,0.3542845935494049,0.2942838466424782,0.14394658997686663,14
2025.04.07startup_a,20250407,startup_a,0.05687712889773436,0.1863456784853803,-0.009096028590416328,0.6402720170269277,-0.016881803331015455,0.34185304059246263,0.3425729512110997,0.21914729943537134,0.23650207718082364,-0.023330711291412218,0.2850375456652029,15
2025.04.14startup_a,20250414,startup_a,0.23727966328086691,0.7422771056787488,-0.00527698125964677,0.8540379323416858,-0.012674970108672324,1.109104698543529,-0.06130835543055974,0.5987633562408505,0.5612854324543937,0.8096750977889934,0.6645280557482397,16
2024.10.14startup_b,20241014,startup_b,0.2773591222274447,0.5058036252441097,0.05417053540997312,0.45128246357595336,-0.06251522111633384,0.720686616731686,0.036933778602817234,0.7798261542180289,0.3416448138213779,0.41325456385997983,0.6237570515874367,0
2024.10.28startup_b,20241028,startup_b,0.3158780017444072,0.39794048485649597,0.19455170791768797,0.6197761665418237,-0.13979468861509683,0.4412081027605561,0.4608914288303631,0.7342340678781935,0.2081244509844272,0.3201964782224785,0.3237602189611354,1
2024.11.04startup_b,20241104,startup_b,0.29160909845713184,0.7950071429767211,0.234145298000502,0.2633700954125275,-0.1149529108592398,1.1453398861208532,0.5343071087025042,1.4528839115698744,0.5213017977010305,0.718253133141106,0.35970747985132057,2
