feature,outcome,n,rho,p,q
h1_baseline_entropy,rating_mean,32,-0.3315725964568663,0.06375792985314947,0.19127378955944843
h1_baseline_entropy,todo_completion_rate,29,0.0890455966910173,0.645985316367844,0.7267334809138245
h1_baseline_entropy,issue_resolution_rate_same_meeting,34,-0.37675156280217853,0.02807092889544669,0.19127378955944843
h1_det_median,rating_mean,32,0.1486556818787673,0.41679569313731013,0.7267334809138245
h1_det_median,todo_completion_rate,29,-0.09777555715092096,0.613847960894193,0.7267334809138245
h1_det_median,issue_resolution_rate_same_meeting,34,0.34847577540836555,0.04340948128124418,0.19127378955944843
h1_event_rate,rating_mean,32,0.12181771626429073,0.5065823019063507,0.7267334809138245
h1_event_rate,todo_completion_rate,29,-0.2307203835831681,0.2285341672683981,0.5142018763538957
h1_event_rate,issue_resolution_rate_same_meeting,34,-0.009787772559396805,0.956187447940913,0.956187447940913
