mid,member,talk_words,talk_share
2025.03.25startup_a,S3,181,0.017601867159389283
2025.03.25startup_a,S1,804,0.07818729942623748
2025.03.25startup_a,S5,4034,0.3922979675192065
2025.03.25startup_a,S2,5253,0.5108431391617232
2025.03.25startup_a,S4,11,0.0010697267334435477
2025.03.31startup_a,S3,11,0.0011552194917034237
2025.03.31startup_a,S1,3904,0.4099978996009242
2025.03.31startup_a,S5,1097,0.1152068893089687
2025.03.31startup_a,S2,4169,0.4378281873555976
2025.03.31startup_a,S4,341,0.03581180424280613
2025.03.31startup_b,S3,245,0.017670393076090876
2025.03.31startup_b,S1,7651,0.551821132347638
2025.03.31startup_b,S5,1774,0.1279480706815723
2025.03.31startup_b,S2,4184,0.30176703930760906
2025.03.31startup_b,S4,11,0.0007933645870897945
2025.04.07startup_a,S3,11,0.0008291873963515755
2025.04.07startup_a,S2,4234,0.31916176692296094
2025.04.07startup_a,S4,2595,0.1956128448665762
2025.04.07startup_a,S1,6426,0.4843962008141113
2025.04.07startup_b,S3,11,0.0008221225710014948
2025.04.07startup_b,S1,5660,0.42301943198804187
2025.04.07startup_b,S5,2100,0.15695067264573992
2025.04.07startup_b,S2,2052,0.15336322869955157
2025.04.07startup_b,S4,3557,0.26584454409566516
2025.04.14startup_a,S3,11,0.000869840265696663
2025.04.14startup_a,S2,2351,0.18590858769571406
2025.04.14startup_a,S4,2681,0.21200379566661395
2025.04.14startup_a,S1,7603,0.6012177763719754
2025.04.14startup_b,S3,11,0.0008858109196327911
2025.04.14startup_b,S1,3839,0.3091480109518441
2025.04.14startup_b,S5,1370,0.11032372362699308
2025.04.14startup_b,S2,6520,0.5250442905459817
2025.04.14startup_b,S4,678,0.054598163955548396
