mid,Et,pct_tr,pct_int,lift,c_tr,c_int,Tz_frac
2024.10.14startup_a,198,9.000933706816063,90.99906629318394,1.301155888784755,3.279067975347334,96.72093202465268,32.84424379232506
2024.10.14startup_b,194,35.27796820207241,64.7220317979276,2.168688379608905,17.01620759392499,82.98379240607503,46.63937222790857
2024.10.25startup_a,202,6.670086238244607,93.32991376175538,1.2120940070505288,7.494015406907601,92.5059845930924,33.69629776281924
2024.10.28startup_b,204,43.44968756733463,56.55031243266538,3.0440952863659403,16.86967281026068,83.13032718973933,37.588112021337395
2024.11.04startup_a,197,30.170742962621134,69.82925703737887,2.465262214253698,11.170314290294368,88.82968570970561,29.487179487179485
2024.11.04startup_b,161,49.197056971838265,50.802943028161735,3.9562958780350086,12.54437062039873,87.45562937960125,32.756866734486266
2024.11.11startup_a,186,41.06074401664933,58.93925598335068,3.205589519650655,5.773527318279828,94.22647268172022,31.586206896551722
2024.11.11startup_b,140,53.55844155844156,46.44155844155844,3.997093023255814,21.6532107951343,78.34678920486571,38.47874720357942
2024.11.18startup_a,181,10.868439226519339,89.13156077348066,1.454020915975478,9.975927558780915,90.02407244121909,26.857142857142858
2024.11.18startup_b,178,36.39922351065745,63.60077648934256,2.7893323221790376,11.452462484174859,88.54753751582513,31.98443579766537
2024.12.02startup_b,156,46.95498369979886,53.04501630020115,2.53401945047682,8.056063456529367,91.94393654347064,57.70404271548436
2024.12.09startup_a,172,34.737184879650485,65.26281512034952,2.561954731254957,13.065524857296982,86.93447514270304,34.07692307692308
2024.12.13startup_a,207,51.409214813238016,48.59078518676198,3.9906780754181534,14.359210776135335,85.64078922386467,35.376705556654144
2024.12.16startup_b,169,21.7643207009038,78.2356792990962,1.6661143734314467,9.533144256942046,90.46685574305795,41.762977473065625
2024.12.23startup_a,204,8.759490510845907,91.24050948915409,1.318353057199211,5.58028545079004,94.41971454920996,30.156582254011212
2024.12.23startup_b,186,42.40728239186493,57.59271760813507,3.183615310540284,11.655650403720124,88.34434959627987,33.720712277413305
2025.01.06startup_a,183,31.834019482348754,68.16598051765125,2.1711272727272726,7.520772752822145,92.47922724717786,39.87674460757658
2025.01.06startup_b,218,29.11733859919312,70.88266140080688,2.308126578517308,14.080431656606251,85.91956834339375,31.402331331684916
2025.01.13startup_a,199,24.7966488677084,75.20335113229162,2.2137678834926544,6.374224696801096,93.6257753031989,27.16565349544073
2025.01.13startup_b,216,53.853364262371606,46.146635737628394,4.791905287757775,15.834382888005988,84.16561711199401,30.77622250499909
2025.02.10startup_b,181,16.60686467596989,83.3931353240301,1.6141695501730104,7.664189299546337,92.33581070045365,32.424184627121875
2025.02.24startup_a,175,16.6218487394958,83.3781512605042,1.6940350877192982,7.432888498437627,92.56711150156238,28.72404757105422
2025.02.24startup_b,119,63.681317775217735,36.31868222478226,7.20176203368054,12.857332801729148,87.14266719827086,28.272672431128093
2025.03.02startup_a,142,27.759766144034014,72.24023385596598,2.745655080213904,11.356905365817898,88.6430946341821,22.012948793407887
2025.03.17startup_a,162,20.562361593628737,79.43763840637126,1.9079301477184378,8.285436038178455,91.71456396182154,28.50980392156863
2025.03.17startup_b,197,38.982699678856314,61.01730032114368,2.73730378578024,12.426573488769025,87.57342651123099,36.774193548387096
2025.03.24startup_b,177,32.91940889466591,67.0805911053341,2.396205584125047,5.1125118370844564,94.88748816291553,35.148417534892864
2025.03.25startup_a,204,32.71396123642978,67.28603876357022,2.8403200411784293,12.236373905146666,87.76362609485335,26.41890527166229
2025.03.31startup_a,137,25.9397442806055,74.0602557193945,2.395675185560054,9.382688497386193,90.61731150261382,25.0955157852403
2025.03.31startup_b,240,27.095771144278604,72.9042288557214,2.5494310099573254,7.805437860521483,92.1945621394785,23.987034035656404
2025.04.07startup_a,217,35.636201383208146,64.36379861679185,2.656984785615491,12.708633602478727,87.29136639752126,33.41421143847487
2025.04.07startup_b,175,9.126530612244897,90.87346938775511,1.2382779198635976,8.500968725199073,91.49903127480094,42.14876033057851
2025.04.14startup_a,182,35.43723640562465,64.56276359437534,3.1143222039773764,11.56954957538372,88.4304504246163,25.96011208175375
2025.04.14startup_b,184,56.50627785945996,43.49372214054004,5.944328160098019,15.936197668346715,84.06380233165329,26.27621685793431
