definition,n,observed_facilitator_share,null_mean,null_sd,null_ci_lo,null_ci_hi,p_perm_two_sided
init_primary,909,0.2816281628162816,0.2742167216721672,0.013961077891769785,0.24642464246424642,0.30145764576457645,0.642
init_floor,909,0.28272827282728275,0.2746523652365237,0.013711922238407215,0.24752475247524752,0.3025302530253025,0.568
init_question,494,0.27125506072874495,0.2759331983805668,0.019501427858107587,0.2367914979757085,0.3117408906882591,0.832
