mid,team,date,event_onset_s,event_class,depth,init_primary,init_floor,init_question,leader,leader_primary,leader_floor,leader_question,week
2024.11.04startup_a,startup_a,20241104,2281.0,INTERIOR_OTHER,24.723449196905392,S1,S4,S1,S2,0,0,0.0,2
2024.11.04startup_a,startup_a,20241104,2343.0,TRANSITION,22.01660371146673,S1,S4,S1,S2,0,0,0.0,2
2024.11.04startup_a,startup_a,20241104,2541.0,INTERIOR_OTHER,-3.411010359700157,S3,S4,,S2,0,0,,2
2024.11.04startup_a,startup_a,20241104,2577.0,TRANSITION,22.716128682722612,S4,S4,S3,S2,0,0,0.0,2
2024.11.04startup_a,startup_a,20241104,2894.0,TRANSITION,15.736747787734295,S2,S1,S3,S2,1,0,0.0,2
2024.11.04startup_a,startup_a,20241104,3169.0,INTERIOR_HANDOFF,-1.228882981348221,S1,S1,S1,S2,0,0,0.0,2
2024.11.04startup_a,startup_a,20241104,3325.0,INTERIOR_HANDOFF,5.850450163916506,S3,S3,S3,S2,0,0,0.0,2
2024.11.04startup_a,startup_a,20241104,3401.0,INTERIOR_OTHER,4.821239389452032,S3,S1,S1,S2,0,0,0.0,2
2024.11.04startup_a,startup_a,20241104,3415.0,INTERIOR_HANDOFF,14.54903993381032,S3,S3,S1,S2,0,0,0.0,2
2024.11.04startup_a,startup_a,20241104,3442.0,TRANSITION,24.043309552216144,S3,S1,S1,S2,0,0,0.0,2
2024.11.04startup_a,startup_a,20241104,3916.0,TRANSITION,9.668065981989578,S4,S4,,S2,0,0,,2
2024.11.04startup_a,startup_a,20241104,4396.0,TRANSITION,13.731773787717572,S1,S3,,S2,0,0,,2
2024.11.04startup_a,startup_a,20241104,4592.0,TRANSITION,11.566340989680882,S3,S3,,S2,0,0,,2
2024.11.04startup_a,startup_a,20241104,4962.0,INTERIOR_OTHER,1.7853095004097987,S3,S1,,S2,0,0,,2
2024.11.11startup_a,startup_a,20241111,51.0,INTERIOR_OTHER,3.3634517078356723,S1,S2,S1,S2,0,1,0.0,3
2024.11.11startup_a,startup_a,20241111,110.0,TRANSITION,4.831362114861584,S1,S1,S1,S2,0,0,0.0,3
