mid,bin,entropy_g,det_g,rmse_g,turn_len,power,achievement,affiliation,reward,risk,insight,cause,discrep,tentative,certainty,differ,cogproc(all),posemo,negemo,social,pron_I,pron_we,pron_you,interrog,assent,nonfluency,filler,focuspast,focuspresent,focusfuture
2024.10.14startup_a,0,43.2546802953239,62.56207384106329,6.189409046145435,7.857142857142857,0.00909090909090909,0.00909090909090909,0.00909090909090909,0.08181818181818182,0.00909090909090909,0.0,0.02727272727272727,0.01818181818181818,0.045454545454545456,0.045454545454545456,0.03636363636363636,0.15454545454545454,0.1,0.0,0.1,0.01818181818181818,0.0,0.02727272727272727,0.06363636363636363,0.11818181818181818,0.12727272727272726,0.1,0.01818181818181818,0.07272727272727272,0.02727272727272727
2024.10.14startup_a,90,43.805555899535726,72.07013806667351,6.857969266192371,16.444444444444443,0.0,0.02702702702702703,0.05405405405405406,0.033783783783783786,0.013513513513513514,0.0,0.02702702702702703,0.006756756756756757,0.006756756756756757,0.006756756756756757,0.033783783783783786,0.08108108108108109,0.060810810810810814,0.013513513513513514,0.08783783783783784,0.02027027027027027,0.006756756756756757,0.006756756756756757,0.013513513513513514,0.04054054054054054,0.033783783783783786,0.04054054054054054,0.04054054054054054,0.06756756756756757,0.033783783783783786
2024.10.14startup_a,180,46.23488367367145,87.01284641673092,8.262234502259401,20.5,0.0,0.036585365853658534,0.024390243902439025,0.04878048780487805,0.024390243902439025,0.018292682926829267,0.06097560975609756,0.024390243902439025,0.036585365853658534,0.006097560975609756,0.018292682926829267,0.1524390243902439,0.04878048780487805,0.0,0.06097560975609756,0.024390243902439025,0.006097560975609756,0.012195121951219513,0.04878048780487805,0.03048780487804878,0.06707317073170732,0.06707317073170732,0.036585365853658534,0.07926829268292683,0.018292682926829267
2024.10.14startup_a,270,49.62588899203279,69.9401387964665,9.940245200639595,15.909090909090908,0.0,0.0,0.0,0.017142857142857144,0.011428571428571429,0.022857142857142857,0.03428571428571429,0.04,0.022857142857142857,0.005714285714285714,0.04,0.14285714285714285,0.022857142857142857,0.005714285714285714,0.02857142857142857,0.0,0.0,0.017142857142857144,0.08571428571428572,0.03428571428571429,0.06857142857142857,0.06285714285714286,0.04,0.10857142857142857,0.005714285714285714
2024.10.14startup_a,360,28.361665808469095,95.32461463688949,6.8038926312499255,66.33333333333333,0.010050251256281407,0.010050251256281407,0.005025125628140704,0.020100502512562814,0.020100502512562814,0.03015075376884422,0.02512562814070352,0.05527638190954774,0.02512562814070352,0.010050251256281407,0.04522613065326633,0.18090452261306533,0.005025125628140704,0.0,0.02512562814070352,0.005025125628140704,0.0,0.01507537688442211,0.05025125628140704,0.0,0.035175879396984924,0.04522613065326633,0.01507537688442211,0.11557788944723618,0.005025125628140704
2024.10.14startup_a,450,14.794786200517981,96.14973897562767,4.437520183105506,38.6,0.010362694300518135,0.015544041450777202,0.025906735751295335,0.031088082901554404,0.015544041450777202,0.015544041450777202,0.05699481865284974,0.05699481865284974,0.03626943005181347,0.015544041450777202,0.04145077720207254,0.18652849740932642,0.03626943005181347,0.02072538860103627,0.11398963730569948,0.015544041450777202,0.02072538860103627,0.05181347150259067,0.06217616580310881,0.015544041450777202,0.07772020725388601,0.07253886010362694,0.010362694300518135,0.10362694300518134,0.031088082901554404
2024.10.14startup_a,540,37.86027369367796,75.49555316608891,9.14042016131832,16.666666666666668,0.03,0.01,0.03,0.04,0.03,0.0,0.07,0.03,0.06,0.02,0.05,0.23,0.04,0.01,0.05,0.02,0.0,0.01,0.02,0.03,0.06,0.05,0.01,0.13,0.04
2024.10.14startup_a,630,26.540426551688576,88.86397911557813,5.937500399144091,32.0,0.015625,0.0234375,0.046875,0.015625,0.0078125,0.0546875,0.046875,0.0390625,0.0390625,0.015625,0.078125,0.234375,0.09375,0.0078125,0.1484375,0.0078125,0.0,0.03125,0.0390625,0.0234375,0.078125,0.1171875,0.015625,0.1171875,0.015625
2024.10.14startup_a,720,45.99296319108938,71.20510802661262,8.05475066936087,12.615384615384615,0.0,0.006097560975609756,0.04878048780487805,0.018292682926829267,0.024390243902439025,0.006097560975609756,0.042682926829268296,0.036585365853658534,0.012195121951219513,0.0,0.06097560975609756,0.14634146341463414,0.012195121951219513,0.006097560975609756,0.07317073170731707,0.018292682926829267,0.006097560975609756,0.018292682926829267,0.036585365853658534,0.042682926829268296,0.08536585365853659,0.042682926829268296,0.036585365853658534,0.10365853658536585,0.018292682926829267
2024.10.14startup_a,810,37.23024459487116,78.98928872154151,6.1899780953786845,21.333333333333332,0.015625,0.015625,0.0078125,0.0546875,0.0703125,0.0390625,0.09375,0.03125,0.046875,0.0078125,0.0,0.21875,0.015625,0.0234375,0.0546875,0.015625,0.0,0.0078125,0.046875,0.0078125,0.03125,0.015625,0.0078125,0.1875,0.0078125
2024.10.14startup_a,900,38.266326691316834,72.23791218945394,11.721514549093481,10.0,0.011111111111111112,0.022222222222222223,0.0,0.0,0.0,0.011111111111111112,0.044444444444444446,0.0,0.022222222222222223,0.011111111111111112,0.06666666666666667,0.14444444444444443,0.044444444444444446,0.0,0.0,0.0,0.0,0.0,0.07777777777777778,0.044444444444444446,0.1,0.07777777777777778,0.05555555555555555,0.12222222222222222,0.0
2024.10.14startup_a,990,44.40275372226062,74.81267500361388,7.41429667127544,21.125,0.011834319526627219,0.01775147928994083,0.01775147928994083,0.03550295857988166,0.03550295857988166,0.01775147928994083,0.05325443786982249,0.029585798816568046,0.03550295857988166,0.01775147928994083,0.0650887573964497,0.1952662721893491,0.03550295857988166,0.023668639053254437,0.08875739644970414,0.005917159763313609,0.005917159763313609,0.04142011834319527,0.047337278106508875,0.01775147928994083,0.05325443786982249,0.04142011834319527,0.01775147928994083,0.10059171597633136,0.023668639053254437
2024.10.14startup_a,1080,41.59971120461569,76.61805822424962,6.572475578575645,13.818181818181818,0.006578947368421052,0.03289473684210526,0.013157894736842105,0.013157894736842105,0.006578947368421052,0.039473684210526314,0.07236842105263158,0.02631578947368421,0.039473684210526314,0.013157894736842105,0.039473684210526314,0.16447368421052633,0.02631578947368421,0.013157894736842105,0.05921052631578947,0.013157894736842105,0.0,0.019736842105263157,0.06578947368421052,0.03289473684210526,0.07236842105263158,0.046052631578947366,0.039473684210526314,0.05921052631578947,0.0
2024.10.14startup_a,1170,39.495901598413276,84.9431634737273,6.159171445678002,32.0,0.010416666666666666,0.0,0.017361111111111112,0.027777777777777776,0.027777777777777776,0.020833333333333332,0.05555555555555555,0.027777777777777776,0.04861111111111111,0.003472222222222222,0.06944444444444445,0.1875,0.034722222222222224,0.006944444444444444,0.08333333333333333,0.003472222222222222,0.003472222222222222,0.027777777777777776,0.09722222222222222,0.013888888888888888,0.059027777777777776,0.059027777777777776,0.006944444444444444,0.11805555555555555,0.006944444444444444
2024.10.14startup_a,1260,19.81220462254,94.87464711104502,3.6153601969843066,28.166666666666668,0.005917159763313609,0.005917159763313609,0.023668639053254437,0.023668639053254437,0.011834319526627219,0.01775147928994083,0.01775147928994083,0.04142011834319527,0.023668639053254437,0.011834319526627219,0.029585798816568046,0.1301775147928994,0.029585798816568046,0.011834319526627219,0.07100591715976332,0.011834319526627219,0.005917159763313609,0.029585798816568046,0.07100591715976332,0.01775147928994083,0.05917159763313609,0.07100591715976332,0.023668639053254437,0.11834319526627218,0.01775147928994083
2024.10.14startup_a,1350,42.76177491133315,74.65291162822777,7.835800734853817,13.777777777777779,0.0,0.03225806451612903,0.056451612903225805,0.04838709677419355,0.04032258064516129,0.024193548387096774,0.04032258064516129,0.024193548387096774,0.04032258064516129,0.0,0.024193548387096774,0.14516129032258066,0.03225806451612903,0.016129032258064516,0.11290322580645161,0.008064516129032258,0.016129032258064516,0.024193548387096774,0.06451612903225806,0.04032258064516129,0.07258064516129033,0.08064516129032258,0.016129032258064516,0.12096774193548387,0.024193548387096774
2024.10.14startup_a,1440,49.38085060819599,70.66256255859976,8.139245653203853,15.9,0.0,0.012578616352201259,0.025157232704402517,0.025157232704402517,0.031446540880503145,0.05660377358490566,0.03773584905660377,0.03773584905660377,0.025157232704402517,0.006289308176100629,0.018867924528301886,0.15723270440251572,0.031446540880503145,0.031446540880503145,0.07547169811320754,0.050314465408805034,0.0,0.025157232704402517,0.10062893081761007,0.018867924528301886,0.03773584905660377,0.03773584905660377,0.031446540880503145,0.12578616352201258,0.012578616352201259
2024.10.14startup_a,1530,37.42719195443669,92.39675658410287,3.2793296139290704,29.2,0.003424657534246575,0.017123287671232876,0.023972602739726026,0.03767123287671233,0.010273972602739725,0.04452054794520548,0.05136986301369863,0.03767123287671233,0.030821917808219176,0.003424657534246575,0.04794520547945205,0.1815068493150685,0.023972602739726026,0.017123287671232876,0.0684931506849315,0.017123287671232876,0.0,0.017123287671232876,0.08561643835616438,0.02054794520547945,0.07876712328767123,0.0684931506849315,0.02054794520547945,0.10616438356164383,0.0136986301369863
2024.10.14startup_a,1620,28.426685045853038,93.3869480925423,5.112861243621747,39.25,0.0,0.025477707006369428,0.01910828025477707,0.012738853503184714,0.012738853503184714,0.044585987261146494,0.06369426751592357,0.025477707006369428,0.01910828025477707,0.012738853503184714,0.050955414012738856,0.18471337579617833,0.012738853503184714,0.012738853503184714,0.08280254777070063,0.006369426751592357,0.006369426751592357,0.03184713375796178,0.08917197452229299,0.0,0.03184713375796178,0.03821656050955414,0.01910828025477707,0.08917197452229299,0.012738853503184714
2024.10.14startup_a,1710,39.50505582425079,89.41771446698891,5.089911817217348,22.25,0.0056179775280898875,0.016853932584269662,0.02247191011235955,0.033707865168539325,0.011235955056179775,0.02247191011235955,0.0449438202247191,0.028089887640449437,0.03932584269662921,0.02247191011235955,0.06179775280898876,0.16853932584269662,0.03932584269662921,0.0056179775280898875,0.10674157303370786,0.02247191011235955,0.0056179775280898875,0.011235955056179775,0.033707865168539325,0.02247191011235955,0.033707865168539325,0.03932584269662921,0.0449438202247191,0.07303370786516854,0.016853932584269662
2024.10.14startup_a,1800,33.588204546466685,90.06497525083088,4.425493002105322,24.555555555555557,0.004524886877828055,0.02262443438914027,0.004524886877828055,0.04072398190045249,0.027149321266968326,0.04072398190045249,0.058823529411764705,0.04072398190045249,0.027149321266968326,0.013574660633484163,0.05429864253393665,0.19004524886877827,0.03167420814479638,0.013574660633484163,0.08597285067873303,0.004524886877828055,0.0,0.03619909502262444,0.08144796380090498,0.013574660633484163,0.06787330316742081,0.08144796380090498,0.004524886877828055,0.12669683257918551,0.01809954751131222
2024.10.14startup_a,1890,34.84117896022938,76.54060976244455,8.980071964282006,17.923076923076923,0.0,0.017167381974248927,0.008583690987124463,0.02145922746781116,0.008583690987124463,0.008583690987124463,0.05150214592274678,0.04291845493562232,0.034334763948497854,0.017167381974248927,0.04291845493562232,0.18454935622317598,0.02575107296137339,0.004291845493562232,0.09012875536480687,0.012875536480686695,0.0,0.03862660944206009,0.06437768240343347,0.017167381974248927,0.06866952789699571,0.07725321888412018,0.008583690987124463,0.12875536480686695,0.012875536480686695
2024.10.14startup_a,1980,32.55537240783178,90.51099905314942,5.257367560791441,29.875,0.0,0.02510460251046025,0.008368200836820083,0.03347280334728033,0.02510460251046025,0.05439330543933055,0.09205020920502092,0.04184100418410042,0.029288702928870293,0.02510460251046025,0.0502092050209205,0.24267782426778242,0.012552301255230125,0.02510460251046025,0.05439330543933055,0.02092050209205021,0.008368200836820083,0.02510460251046025,0.0794979079497908,0.008368200836820083,0.05439330543933055,0.05439330543933055,0.02092050209205021,0.14225941422594143,0.008368200836820083
2024.10.14startup_a,2070,20.973461074646394,95.67420991431078,5.552550028584509,59.666666666666664,0.0,0.0335195530726257,0.0446927374301676,0.0223463687150838,0.0111731843575419,0.0335195530726257,0.0782122905027933,0.0111731843575419,0.03910614525139665,0.00558659217877095,0.027932960893854747,0.16759776536312848,0.027932960893854747,0.0335195530726257,0.15083798882681565,0.00558659217877095,0.00558659217877095,0.055865921787709494,0.055865921787709494,0.0,0.061452513966480445,0.0670391061452514,0.0111731843575419,0.0893854748603352,0.0223463687150838
