feat,label,Z_entropy_g_raw,n_mtg,Z_entropy_g_ctrl,Z_entropy_g_ctrl2,Z_det_g_raw,Z_det_g_ctrl,Z_det_g_ctrl2,Z_rmse_g_raw,Z_rmse_g_ctrl,Z_rmse_g_ctrl2,q_entropy_g_raw,q_entropy_g_ctrl,q_entropy_g_ctrl2,q_det_g_raw,q_det_g_ctrl,q_det_g_ctrl2,q_rmse_g_raw,q_rmse_g_ctrl,q_rmse_g_ctrl2,reorgZ_raw,reorgZ_ctrl,reorgZ_ctrl2
sem_det,Semantic %DET (TF-IDF recurrence),-0.6520018983542105,34,1.5137322148684014,-0.37630093524207175,-0.8348596468131668,-3.924302538913629,-0.8371119637289035,1.3813950336653642,4.117318722614529,2.303387536344794,0.5143999477622441,0.1387666889419511,0.7066931840982389,0.40379673753064604,0.0001424707970351523,0.4293649452770942,0.17830136753999876,0.00010221488312604874,0.034011277404971466,0.9031217648400975,5.51678590179958,1.5959107854991166
sem_rec,Semantic %REC,-19.19391727281953,34,-1.3183650180230564,-1.5996133433221642,19.508212831304782,-1.8316012367414678,-1.3623872306697729,-16.915046624777492,1.0430779675139161,0.688042864288128,1.6642519905395646e-81,0.18738148532697108,0.12535358456936518,4.9863432002280045e-84,0.08247489530200505,0.19780081309118266,1.8588837900397036e-63,0.33932821027538906,0.5472144668904396,-32.110591955998444,0.8985384143648677,0.26027917291208524
coh,Turn-to-turn coherence,-15.316375940690993,34,-3.4515515085233535,-3.5296120961521282,14.43591079150141,-0.04784310114062033,0.00026971767113802156,-11.002644786520413,1.5828891201529776,2.1655100638704425,1.5850816931117992e-52,0.0008917973722871063,0.0007398566405511126,8.201490072177031e-47,0.9618412861237384,0.9997847964370326,8.481959749464876e-28,0.13962675565215668,0.0441434844180186,-23.52987068313361,-1.0512505056277621,-0.7877203971099835
nov,Novelty (topic-shift),15.49157962892676,34,7.484542047644782,7.918357031755394,-13.95882007925874,-3.9186555739950335,-4.627617068041123,10.964242967817508,2.0423453758188015,1.6475853591827863,1.2654512054133097e-53,1.4359409093514223e-13,6.417852259713005e-15,6.354243064421506e-44,0.0001424707970351523,6.575949286154624e-06,1.1354736779132116e-27,0.059806958617095514,0.12238496841357097,23.33340482819288,7.762787868983421,8.19465537440066
word_entropy,Word entropy,2.0864984505539534,34,14.212854899564128,5.601735604381443,3.129294901963426,-10.278546630155363,9.684419515152852,-4.626791238947365,4.734824624012407,-6.224753862918214,0.042209709041122916,3.0500946372652306e-45,4.8506533794094426e-08,0.002336351349994419,4.695745351718235e-24,1.1238331932744551e-21,5.401811046178863e-06,8.769783809871214e-06,1.28616692459337e-09,-3.2733379792217088,16.87376953725399,-5.951001973295021
ttr,Type-token ratio,2.721468409547624,34,-8.00251158375868,1.69898187163082,-4.411522938361654,8.420037725069985,-10.08783625789274,5.935784921026175,-2.7216222939429815,6.705311638486663,0.010398815465442227,2.7864388526282236e-15,0.10993550692921694,1.642337239144701e-05,1.5054523889427447e-16,2.5013071128931047e-23,4.679087544401206e-09,0.012992468759128614,6.43126354840965e-11,7.545261496848878,-11.0528926282726,10.676436099450195
mtld,MTLD lexical diversity,3.4898957256090797,34,3.707066228296962,4.61871776682264,-1.063060606517917,-0.6001712770379369,-1.8470278562307196,0.055786553495494745,-0.7726589984688533,-0.570987519330349,0.0008590383139548134,0.00037275399919446006,7.722372328384713e-06,0.3069380987756748,0.5849515668478433,0.0863241375396797,0.9555118470182122,0.4397242181353681,0.568008103042659,2.660858945639918,2.0406898524109773,3.4033401779922086
hapax,Hapax ratio,2.2275503546368065,34,-2.583051186927283,2.924395879735632,-1.7540419005084797,4.591934729562027,-4.835964759103308,3.207718186482353,-0.9127400231257329,4.021644520888295,0.034547352509947525,0.012053020582856337,0.005020007520521556,0.09076951745637053,8.783114535245358e-06,2.650027940615205e-06,0.0017839004117729893,0.38547124154686696,0.00013209881527759726,4.150750318761505,-4.669450748368665,6.802343850562079
lsm_curated,LSM (curated function words),-9.558955728517823,34,10.842127193441645,12.691970682275084,15.230686388257869,-5.175884617978691,-8.660482948926555,-14.371297797795025,1.8429966644593363,3.301022738941395,2.7188764279075462e-21,6.955436451409133e-27,5.2413009002263006e-36,7.080204546382555e-52,5.184768343465806e-07,1.0737593328391715e-17,3.1339667111066355e-46,0.08710599665379122,0.0017125879963821196,-22.609579201396166,10.312058051547316,14.23369121876216
liwc_lsm,LSM (BP-LIWC2015),-1.5084489781984602,34,8.245919419233514,9.016037716651116,3.996655942361883,-7.1704908167084,-9.538800447877424,-2.664873545679579,6.4079608511112385,7.373535687281284,0.1402022994232039,4.370535821976074e-16,6.24048938433611e-19,9.344518848609599e-05,2.39133949215283e-12,3.8531712776059984e-21,0.009479049529506518,7.865534042767522e-10,6.646447253548586e-13,-4.716939266757065,12.600306522004423,14.969753622991655
