mid,team,date,event_id,onset_s,window_s,label,l10_stage,entropy_slope,det_slope,switch_rate,turnlen_trend,question_density,gap_trend
2024.10.14startup_a,startup_a,20241014,0,210.0,60,1,segue,0.33137168452758453,0.33304338892468394,10.0,0.7363636363636364,0.09090909090909091,0.15757575757575745
2024.10.14startup_a,startup_a,20241014,0,2298.0,60,0,ids,-0.31174397984234825,0.053999733429186444,,,,
2024.10.14startup_a,startup_a,20241014,0,5361.0,60,0,conclude,0.3218784535351722,0.07082052730112932,2.0,,0.75,
2024.10.14startup_a,startup_a,20241014,0,4799.0,60,0,ids,0.40514317418815315,-0.016232010109766572,,,,
2024.10.14startup_a,startup_a,20241014,1,271.0,60,1,scorecard,-0.3029779093293117,0.1811345649077061,,,,
2024.10.14startup_a,startup_a,20241014,1,785.0,60,0,scorecard,0.1294202396989121,-0.32889981519912204,6.0,-1.750000000000003,0.42857142857142855,-0.828571428571429
2024.10.14startup_a,startup_a,20241014,1,753.0,60,0,scorecard,0.8615144084244066,-0.5851718846415072,1.0,,1.0,
2024.10.14startup_a,startup_a,20241014,1,714.0,60,0,scorecard,-0.3942986338317623,0.3340880341432464,2.0,,0.3333333333333333,
2024.10.14startup_a,startup_a,20241014,2,318.0,60,1,scorecard,0.24792702741474695,-0.5272587849359878,3.0,,0.75,
2024.10.14startup_a,startup_a,20241014,2,713.0,60,0,scorecard,-0.41258947655139533,0.34568979316883774,2.0,,0.3333333333333333,
2024.10.14startup_a,startup_a,20241014,2,715.0,60,0,scorecard,-0.37402343836661656,0.3213462897574707,2.0,,0.3333333333333333,
2024.10.14startup_a,startup_a,20241014,2,742.0,60,0,scorecard,0.6432784199764365,-0.36291637502770574,1.0,,1.0,
2024.10.14startup_a,startup_a,20241014,3,359.0,60,1,scorecard,-0.07841167748450889,-0.1262475361958206,8.0,-0.2666666666666683,0.3333333333333333,-0.20833333333333323
2024.10.14startup_a,startup_a,20241014,3,787.0,60,0,scorecard,0.09422408960857745,-0.3370761869821564,6.0,-1.750000000000003,0.42857142857142855,-0.828571428571429
2024.10.14startup_a,startup_a,20241014,3,744.0,60,0,scorecard,0.7056090234180413,-0.4172044354824526,1.0,,1.0,
2024.10.14startup_a,startup_a,20241014,3,699.0,60,0,scorecard,-0.3249001337732375,0.3896236251317513,2.0,,0.3333333333333333,
2024.10.14startup_a,startup_a,20241014,4,441.0,60,1,scorecard,0.5895971457117778,-0.07843631435265558,1.0,,0.5,
2024.10.14startup_a,startup_a,20241014,4,723.0,60,0,scorecard,-0.15689722671544354,0.15352895616420664,0.0,,1.0,
2024.10.14startup_a,startup_a,20241014,4,706.0,60,0,scorecard,-0.4618581835978447,0.39211214951647994,2.0,,0.3333333333333333,
2024.10.14startup_a,startup_a,20241014,4,786.0,60,0,scorecard,0.11151408485853208,-0.3303259959329763,6.0,-1.750000000000003,0.42857142857142855,-0.828571428571429
2024.10.14startup_a,startup_a,20241014,5,553.0,60,1,scorecard,0.4970945881074663,-0.27786805429629835,2.0,,0.6666666666666666,
