mid,bin,entropy_g,det_g,rmse_g,gini_words,gini_turns,part_entropy,top_share,turnlen_disp,n_active,net_central,eig_central,inout_asym
2024.10.14startup_a,0,43.2546802953239,62.56207384106329,6.189409046145435,0.47272727272727266,0.2857142857142858,1.3873227944383228,0.6636363636363637,0.25322580645161263,4,0.8461538461538463,0.6855441024385223,0.07692307692307693
2024.10.14startup_a,90,43.805555899535726,72.07013806667351,6.857969266192371,0.400900900900901,0.22222222222222232,1.0152539772704294,0.6081081081081081,0.37969094922737323,3,1.0,0.7071067811865476,0.0
2024.10.14startup_a,180,46.23488367367145,87.01284641673092,8.262234502259401,0.2957317073170731,0.1875,1.767658699165247,0.4634146341463415,0.2978424015009382,4,0.14285714285714285,0.6067637394094294,0.42857142857142855
2024.10.14startup_a,270,49.62588899203279,69.9401387964665,9.940245200639595,0.3085714285714287,0.18181818181818188,1.2901565884120134,0.5371428571428571,0.19385342789598137,3,0.7000000000000001,0.6834786838145601,0.2
2024.10.14startup_a,360,28.361665808469095,95.32461463688949,6.8038926312499255,0.1532663316582914,0.16666666666666674,0.9311170667175546,0.6532663316582915,0.014925373134328401,2,,0.7071067811865476,1.0
2024.10.14startup_a,450,14.794786200517981,96.14973897562767,4.437520183105506,0.6826424870466321,0.1499999999999999,0.5474369009806465,0.9119170984455959,0.6261904761904762,4,0.5,0.6881909602355867,0.5
2024.10.14startup_a,540,37.86027369367796,75.49555316608891,9.14042016131832,0.45333333333333337,0.22222222222222232,0.987298699737119,0.7,0.361581920903955,3,1.0,0.7071067811865475,0.2
2024.10.14startup_a,630,26.540426551688576,88.86397911557813,5.937500399144091,0.6197916666666667,0.16666666666666674,0.3712628443169887,0.9375,0.5784313725490198,3,1.0,0.7071067811865476,1.0
2024.10.14startup_a,720,45.99296319108938,71.20510802661262,8.05475066936087,0.2520325203252034,0.15384615384615397,1.4256360009565787,0.5365853658536586,0.1116279069767443,3,0.7499999999999999,0.6843778139569257,0.16666666666666666
2024.10.14startup_a,810,37.23024459487116,78.98928872154151,6.1899780953786845,0.078125,0.0,0.9823166080205501,0.578125,0.078125,2,,0.7071067811865476,0.2
2024.10.14startup_a,900,38.266326691316834,72.23791218945394,11.721514549093481,0.3555555555555556,0.22222222222222232,1.2538163373641833,0.6222222222222222,0.17543859649122817,3,1.0,0.7071067811865477,0.0
2024.10.14startup_a,990,44.40275372226062,74.81267500361388,7.41429667127544,0.42209072978303763,0.25,1.0972391650559965,0.6804733727810651,0.26560000000000006,3,1.0,0.7071067811865475,0.14285714285714285
2024.10.14startup_a,1080,41.59971120461569,76.61805822424962,6.572475578575645,0.381578947368421,0.24242424242424243,1.2019703582733445,0.6513157894736842,0.19354838709677424,3,1.0,0.7071067811865476,0.0
2024.10.14startup_a,1170,39.495901598413276,84.9431634737273,6.159171445678002,0.33564814814814814,0.14814814814814814,1.2781800859282684,0.6493055555555556,0.20654591674610767,3,0.625,0.6791342506779232,0.25
2024.10.14startup_a,1260,19.81220462254,94.87464711104502,3.6153601969843066,0.31558185404339256,0.22222222222222232,1.203548250599145,0.514792899408284,0.2766439909297054,3,0.25,0.6279630301995545,0.5
2024.10.14startup_a,1350,42.76177491133315,74.65291162822777,7.835800734853817,0.3763440860215055,0.22222222222222232,1.20847804350066,0.6774193548387096,0.23293172690763053,3,1.0,0.7071067811865475,0.25
2024.10.14startup_a,1440,49.38085060819599,70.66256255859976,8.139245653203853,0.46960167714884693,0.26666666666666683,0.9783762859629842,0.7421383647798742,0.30595393307257734,3,1.0,0.7071067811865477,0.1111111111111111
2024.10.14startup_a,1530,37.42719195443669,92.39675658410287,3.2793296139290704,0.18835616438356162,0.0,0.8950618801641063,0.6883561643835616,0.18835616438356162,2,,0.7071067811865476,0.1111111111111111
2024.10.14startup_a,1620,28.426685045853038,93.3869480925423,5.112861243621747,0.3014861995753717,0.16666666666666674,1.1955641393733045,0.49044585987261147,0.3944444444444446,3,1.0,0.7071067811865477,0.3333333333333333
2024.10.14startup_a,1710,39.50505582425079,89.41771446698891,5.089911817217348,0.3258426966292136,0.08333333333333348,1.301450610965205,0.6348314606741573,0.40796019900497527,3,0.1428571428571429,0.6059128001754499,0.14285714285714285
2024.10.14startup_a,1800,33.588204546466685,90.06497525083088,4.425493002105322,0.3740573152337858,0.14814814814814814,1.2144534907489863,0.6380090497737556,0.36023391812865513,3,0.25,0.6279630301995545,0.0
2024.10.14startup_a,1890,34.84117896022938,76.54060976244455,8.980071964282006,0.5783261802575108,0.28846153846153855,1.069292789559743,0.7725321888412017,0.427737881508079,4,0.6666666666666667,0.6869778983797312,0.16666666666666666
2024.10.14startup_a,1980,32.55537240783178,90.51099905314942,5.257367560791441,0.41004184100418417,0.08333333333333348,1.1035796941228664,0.6527196652719666,0.39014373716632456,3,0.5714285714285714,0.6702842555569428,0.14285714285714285
2024.10.14startup_a,2070,20.973461074646394,95.67420991431078,5.552550028584509,0.3938547486033519,0.16666666666666674,0.4881782468876861,0.8938547486033519,0.3080808080808082,2,,0.7071067811865476,0.0
2024.10.14startup_a,2160,46.580928909400455,80.63499822076615,8.991540014065531,0.5328467153284671,0.25,1.2070827833865685,0.7299270072992701,0.39566115702479343,4,0.5384615384615385,0.663350014091064,0.23076923076923078
2024.10.14startup_a,2340,31.17189164767436,81.20450146160988,7.080875898756343,0.33193277310924363,0.0714285714285714,0.6532642567060225,0.8319327731092437,0.368421052631579,2,,0.7071067811865476,0.2
2024.10.14startup_a,2430,51.28449918688848,70.13804371153888,10.271470244078309,0.1333333333333333,0.14814814814814814,1.5408744157208232,0.43243243243243246,0.24502784407319012,3,0.625,0.6791342506779232,0.25
2024.10.14startup_a,2520,48.1619029269599,78.00341302181687,5.754685054564943,0.5318791946308725,0.29166666666666674,1.23290304594424,0.7114093959731543,0.370418848167539,4,0.45454545454545453,0.653460073491989,0.2727272727272727
2024.10.14startup_a,2610,44.50699876993407,83.74652120734541,6.3440425500411015,0.24822695035460995,0.19047619047619047,1.4268639751993324,0.5531914893617021,0.2685185185185186,3,1.0,0.7071067811865476,0.3333333333333333
2024.10.14startup_a,2700,28.299771493405185,87.36998888075549,6.069269170861787,0.6875,0.30000000000000004,0.48236173437309676,0.9278846153846154,0.5836693548387097,4,0.7777777777777777,0.6734046512408528,0.3333333333333333
2024.10.14startup_a,2790,39.7182792990592,75.84082646898464,9.816988372821516,0.37477477477477494,0.12121212121212133,1.219300400838849,0.654054054054054,0.27135187896534907,3,1.0,0.7071067811865476,0.0
2024.10.14startup_a,2880,44.47532478403939,78.90435157781516,9.597973375237165,0.14248704663212441,0.0714285714285714,0.9405993688449397,0.6424870466321243,0.20554765291607402,2,,0.7071067811865476,0.0
2024.10.14startup_a,2970,46.436049946798924,74.77972213925774,6.164943196273456,0.32863849765258224,0.20000000000000018,1.237963677909744,0.5492957746478874,0.2555168408826949,3,1.0,0.7071067811865475,0.1111111111111111
2024.10.14startup_a,3060,20.199320436990874,96.59981258448717,4.005376234900529,0.2777777777777777,0.16666666666666674,0.7642045065086203,0.7777777777777778,0.13636363636363646,2,,0.7071067811865476,1.0
2024.10.14startup_a,3150,36.60380333942176,86.77318912750968,6.3281730148729896,0.36904761904761907,0.22222222222222232,1.0262629564055894,0.5580357142857143,0.4263431542461005,3,1.0,0.7071067811865476,0.2
2024.10.14startup_a,3240,56.10611641909665,83.63442076569095,4.902831056219685,0.13207547169811318,0.16666666666666674,1.5288967540768579,0.4056603773584906,0.15384615384615397,3,1.0,0.7071067811865476,0.14285714285714285
2024.10.14startup_a,3330,48.43110442755077,75.07020181535547,8.457710693336617,0.24769433465085644,0.14285714285714302,1.3570206853391054,0.466403162055336,0.2075848303393215,3,0.7499999999999999,0.6843778139569258,0.16666666666666666
2024.10.14startup_a,3420,32.50527383532802,81.91732049315416,6.48688844380436,0.6367521367521367,0.34090909090909083,0.7949180033114485,0.8461538461538461,0.5189768976897691,4,0.8,0.6925420622309065,0.4
2024.10.14startup_a,3510,35.39488436160848,87.11007196091171,5.503334008641629,0.5245901639344264,0.22222222222222232,0.7958806741707294,0.8306010928961749,0.4053840063341254,3,0.25,0.6279630301995544,0.5
