feature,event_class,pct_no_precursor,n,chi2,chi2_p
entropy_slope,TRANSITION,71.58119658119658,468,7.236975209856882,0.026823213126544728
entropy_slope,INTERIOR_HANDOFF,67.63636363636364,275,7.236975209856882,0.026823213126544728
entropy_slope,INTERIOR_OTHER,79.41176470588235,170,7.236975209856882,0.026823213126544728
switch_rate,TRANSITION,42.54385964912281,456,25.660394818126203,2.678650569580017e-06
switch_rate,INTERIOR_HANDOFF,60.74074074074074,270,25.660394818126203,2.678650569580017e-06
switch_rate,INTERIOR_OTHER,57.05521472392638,163,25.660394818126203,2.678650569580017e-06
both,TRANSITION,27.99145299145299,468,12.60607580959429,0.0018307347228686502
both,INTERIOR_HANDOFF,36.36363636363637,275,12.60607580959429,0.0018307347228686502
both,INTERIOR_OTHER,41.76470588235294,170,12.60607580959429,0.0018307347228686502
