feature,auc,ci_lo,ci_hi
switch_rate,0.6979757192597092,0.6643067200146243,0.7306938247765055
turnlen_trend,0.6396275028314602,0.5995801456216476,0.6787556017628049
question_density,0.6292415893102462,0.5935186516034728,0.6617290040355738
gap_trend,0.4752754281166118,0.4498202016922799,0.506048982947157
