mid,n_sp,net_central,eig_central,inout_asym,mean_entropy,mean_det,mean_rmse
2024.10.14startup_a,4,0.6638655462184875,0.6670057235637191,0.03361344537815126,36.070877559876095,83.10555610478458,6.670950421112282
2024.10.14startup_b,4,0.3155339805825244,0.6003606377747907,0.024271844660194174,42.653317645670874,70.20915706049757,8.634759968963952
2024.10.25startup_a,4,0.4956896551724137,0.6349536227513829,0.0603448275862069,34.69568832516226,81.64151801232696,7.104044701789934
2024.10.28startup_b,4,0.36907216494845363,0.6125082347289638,0.04329896907216495,34.532439357889764,80.72260632777844,7.182234019914661
2024.11.04startup_a,4,0.6145251396648044,0.6695542038656926,0.00558659217877095,28.856233648758778,87.22161855027665,6.033832788644676
2024.11.04startup_b,4,0.4545454545454546,0.6420697686811245,0.09090909090909091,38.68585429182432,80.31846929565677,7.32447270175156
2024.11.11startup_a,4,0.49,0.6452329727838176,0.095,35.34070129009611,82.51532152820782,7.00745206383076
2024.11.11startup_b,4,0.22455573505654283,0.5757968218705407,0.05977382875605816,39.02349023028512,76.52525214692541,7.929547904549059
2024.11.18startup_a,4,0.605095541401274,0.6715861601824514,0.03184713375796178,26.916406361407567,88.41368646054187,5.32509147283559
2024.11.18startup_b,4,0.2314225053078556,0.5873185552325674,0.044585987261146494,35.52272714114866,80.28166284499014,7.329260044379226
2024.12.02startup_b,4,0.13215859030836996,0.545609323150513,0.013215859030837005,50.08657397352948,56.33863601467668,9.994006894257181
2024.12.09startup_a,4,0.5083333333333333,0.6598667511738,0.058333333333333334,34.78273607805484,81.29245795306758,7.16831959435995
2024.12.13startup_a,3,0.3908296943231442,0.6435184238333786,0.008733624454148471,42.771329497611404,82.79302762709038,6.92555202609921
2024.12.16startup_b,4,0.22468354430379753,0.58743355094012,0.012658227848101266,40.06271543483765,75.98139291503786,8.503005988272049
2024.12.23startup_a,4,0.4075949367088607,0.619384936887328,0.012658227848101266,32.51051742275842,84.21185449593503,6.582152027735612
2024.12.23startup_b,4,0.565040650406504,0.6473810132586041,0.028455284552845527,33.05969152086926,79.91174519143348,7.836778148854064
2025.01.06startup_a,3,0.3355048859934854,0.634518804357113,0.03908794788273615,48.84009551679102,78.18227505061762,7.430107234338185
2025.01.06startup_b,3,0.44078947368421056,0.6526326280847105,0.03070175438596491,43.19104771553051,82.89410156468193,6.709324462177818
2025.01.13startup_a,4,0.6868131868131868,0.6792381506856985,0.03296703296703297,28.564292803555716,88.08328553930033,5.564287548469314
2025.01.13startup_b,4,0.5058823529411764,0.6561612396342255,0.04470588235294118,29.81886967907249,83.97107947858053,6.741567934603385
2025.02.10startup_b,3,0.28131868131868126,0.6332985060394531,0.006593406593406593,48.479797959475114,78.88037137517158,7.837432706039804
2025.02.24startup_a,4,0.5112359550561798,0.6452151245621398,0.0449438202247191,33.08432242655857,82.89865924828592,7.3412991068008795
2025.02.24startup_b,4,0.692722371967655,0.684461770612888,0.029649595687331536,31.95847801500829,84.99589421340423,6.63591641547947
2025.03.02startup_a,4,0.4571428571428571,0.6312774354143557,0.02857142857142857,28.35486065981398,87.02394887152992,5.603259386278183
2025.03.17startup_a,4,0.7167138810198301,0.684545226712817,0.036827195467422094,30.29261976517391,86.02164745659117,5.999509997569453
2025.03.17startup_b,4,0.4670571010248903,0.6334944202040789,0.03367496339677892,37.807667857625354,74.64742480175411,8.034780111003148
2025.03.24startup_b,4,0.36862003780718333,0.6175753312675486,0.02835538752362949,40.662603391302575,72.90365701936064,8.545997079377209
2025.03.25startup_a,4,0.675,0.6852466003483254,0.025,28.964633849099457,87.66582085365212,5.5113212944316405
2025.03.31startup_a,4,0.7345679012345678,0.693793937458768,0.024691358024691357,31.50189907125147,85.10643726819335,6.148102990379254
2025.03.31startup_b,4,0.5090439276485788,0.6492865912002859,0.04909560723514212,27.603859288519832,87.1885341384439,5.752020413209131
2025.04.07startup_a,3,0.7551020408163266,0.6983874580356559,0.0,36.05239789117962,82.89440108056102,6.582625438439945
2025.04.07startup_b,4,0.5353260869565217,0.6456195813553101,0.03260869565217391,41.426015534983094,72.44407270210058,9.15169185650981
2025.04.14startup_a,3,0.6310904872389791,0.6721438816541688,0.02088167053364269,34.28643985530164,87.33061171629585,5.945755952754409
2025.04.14startup_b,4,0.6387434554973821,0.673276964220493,0.03664921465968586,31.695289029835696,85.7036625329863,6.4336114275308285
