outcome,predictor,n,linear_b,linear_p,quad_b,quad_p,shape,vertex_z,r2
rating_mean,reorg_event_rate,32,-0.04045534741740586,0.8216471645380471,0.04598273809043274,0.7539672508052145,U-shaped,0.439897112453848,0.005039792990005565
rating_mean,pct_time_reorganizing,32,-0.010113124675871887,0.9584420320271674,0.1161059139689824,0.48898775684803364,U-shaped,0.04355129006853863,0.021048339721254195
todo_completion_rate,reorg_event_rate,29,2.7732168535612676,0.5671329424481557,5.196186875273146,0.20486730084153026,U-shaped,-0.26685114682441907,0.06707579131981067
todo_completion_rate,pct_time_reorganizing,29,-2.3112943139985,0.6667874191567673,1.775937758520216,0.6721459546502149,U-shaped,0.6507250332704128,0.023455262563998325
issue_resolution_rate_same_meeting,reorg_event_rate,34,-1.3839493074409654,0.8183194817853626,-3.011353285776763,0.5468442924428429,inverted-U,-0.22978859936123086,0.013000281991987883
issue_resolution_rate_same_meeting,pct_time_reorganizing,34,2.394277403410036,0.7193801180373465,2.2699282619946817,0.6912365533736942,U-shaped,-0.5273905443395122,0.006600181818661732
