mid,team,dt,entropy_sd,det_sd,reorg_rate,valley_depth,episode_dur,week
2024.10.14startup_a,startup_a,2024-10-14,15.075321865250189,13.309584961538413,3.6490969406561007,2.725258263918675,6.904761904761905,1
2024.10.25startup_a,startup_a,2024-10-25,17.459504025858465,19.118710913204254,3.885362569724947,2.782633557948017,14.882352941176471,2
2024.11.04startup_a,startup_a,2024-11-04,15.850529247290375,13.283510855361667,3.7884615384615383,3.2068101335847548,11.11111111111111,3
2024.11.11startup_a,startup_a,2024-11-11,14.937593559377888,15.423621042529017,3.576235339357816,3.169298170230578,13.454545454545455,4
2024.11.18startup_a,startup_a,2024-11-18,15.968779872137683,12.074011638238268,3.40289528106787,2.983899934794522,8.090909090909092,5
2024.12.09startup_a,startup_a,2024-12-09,17.113409872866026,17.65916195021783,3.225806451612903,2.6773685467672466,11.529411764705882,6
2024.12.13startup_a,startup_a,2024-12-13,21.046835723057164,17.458738686201954,4.021760248688556,3.0515822429226875,18.272727272727273,7
2024.12.23startup_a,startup_a,2024-12-23,15.401984651365305,16.178394716055852,3.8621734191594093,3.1532383447655454,17.46153846153846,8
2025.01.06startup_a,startup_a,2025-01-06,21.227801159771538,17.157532464003737,3.2521770037320064,2.7774475149580606,10.538461538461538,9
2025.01.13startup_a,startup_a,2025-01-13,14.232413178567509,11.602651494234962,3.7133793618212354,2.8344222415772977,8.214285714285714,10
2025.02.24startup_a,startup_a,2025-02-24,16.40578370055313,16.176558132741214,3.4482758620689653,2.716369482777535,8.434782608695652,11
2025.03.02startup_a,startup_a,2025-03-02,16.843106510364915,14.122288964524591,2.7302441838108056,3.0143919732385593,10.263157894736842,12
2025.03.17startup_a,startup_a,2025-03-17,12.944486062568439,13.499228580766017,3.108211818879509,2.9880916007188767,13.2,13
2025.03.25startup_a,startup_a,2025-03-25,12.3651021637645,13.12228913728003,4.0340122602333395,2.915475401364543,10.869565217391305,14
2025.03.31startup_a,startup_a,2025-03-31,12.427216165817418,13.312240648750839,2.7021696252465484,2.9547369520386613,10.285714285714286,15
2025.04.07startup_a,startup_a,2025-04-07,15.873757410598172,16.853127858225076,3.6948748510131106,2.820020843311834,10.523809523809524,16
2025.04.14startup_a,startup_a,2025-04-14,16.91203925190717,14.247806682051136,2.943078913324709,3.378164828887039,9.263157894736842,17
2024.10.14startup_b,startup_b,2024-10-14,21.26619078279973,23.412230466364353,3.2408954226528564,2.5013061399901053,8.4,1
2024.10.28startup_b,startup_b,2024-10-28,16.47466545785106,18.026628245066707,3.8038411336938283,2.6302734628230056,9.0,2
2024.11.04startup_b,startup_b,2024-11-04,13.856978286881267,16.3047623755246,3.2129315505887046,2.7262429319773114,8.875,3
2024.11.11startup_b,startup_b,2024-11-11,20.07745514165683,21.659189299847682,2.5454545454545454,2.662086381856871,18.125,4
2024.11.18startup_b,startup_b,2024-11-18,18.195744006035316,19.441950492697483,3.3712121212121215,2.937554067776803,21.714285714285715,5
2024.12.02startup_b,startup_b,2024-12-02,14.376721873441952,21.940375651100453,2.9071934401789044,2.341136728511193,3.0,6
2024.12.16startup_b,startup_b,2024-12-16,16.22836706609133,19.31005096331904,3.2350689127105667,2.7705622527089293,12.266666666666667,7
2024.12.23startup_b,startup_b,2024-12-23,16.781941975041864,18.880273791778933,3.4115920763022745,2.6688732116618654,8.947368421052632,8
2025.01.06startup_b,startup_b,2025-01-06,23.90293728145841,17.358946368962535,3.766413268832066,2.895193604243004,11.944444444444445,9
2025.01.13startup_b,startup_b,2025-01-13,17.028848967859314,17.313835549980453,3.8598999285203717,2.8218684213076375,24.076923076923077,10
2025.02.10startup_b,startup_b,2025-02-10,19.599730667822243,17.21757124403794,3.3762357769072935,2.860199679543075,12.923076923076923,11
2025.02.24startup_b,startup_b,2025-02-24,16.218034086997722,14.481989891067734,2.3462145110410093,3.0757845456290687,11.0,12
2025.03.17startup_b,startup_b,2025-03-17,15.231556666633574,22.055271783047484,3.129467831612391,2.5893927602820286,11.125,13
2025.03.24startup_b,startup_b,2025-03-24,12.381992073278132,19.66633245745315,3.392754456584244,2.7145127146095067,22.0,14
2025.03.31startup_b,startup_b,2025-03-31,14.00339167828231,14.669441175799259,3.829583532790809,3.023675992778501,9.36,15
2025.04.07startup_b,startup_b,2025-04-07,13.351336381953368,19.362314585077193,2.724159402241594,2.627110660105626,8.538461538461538,16
2025.04.14startup_b,startup_b,2025-04-14,13.819595133304706,15.288246830084466,3.57212191807416,3.1561232096129426,10.705882352941176,17
