feature,a,b,mean_a,mean_b,p,q,sig
switch_rate,TRANSITION,INTERIOR_HANDOFF,6.703947368421052,5.2592592592592595,3.955306378870037e-07,1.1865919136610112e-06,***
switch_rate,TRANSITION,INTERIOR_OTHER,6.703947368421052,5.110429447852761,1.3915367387188487e-06,2.0873051080782733e-06,***
switch_rate,INTERIOR_HANDOFF,INTERIOR_OTHER,5.2592592592592595,5.110429447852761,0.6100746813581026,0.6100746813581026,
