definition,team,level,n_facilitator,n_member,mean_facilitator,mean_member,test,stat,p
init_primary,startup_a,event,170,255,11.258552731278472,12.682895869028506,Mann-Whitney U,19810.0,0.13284379207867278
init_primary,startup_b,event,157,327,11.442895448389654,12.268967448940066,Mann-Whitney U,24070.0,0.26697530744422915
init_primary,pooled,meeting,34,34,11.767688980258322,12.50906835273674,paired Wilcoxon,253.0,0.4567767282715067
init_floor,startup_a,event,187,238,11.435015377518685,12.6459854425362,Mann-Whitney U,20736.0,0.22763371928621212
init_floor,startup_b,event,173,311,11.34974349513219,12.36328397602157,Mann-Whitney U,24948.0,0.1853706609110658
init_floor,pooled,meeting,34,34,11.756865959146332,12.779311811765327,paired Wilcoxon,248.0,0.4069843718316406
init_question,startup_a,event,125,105,12.711013798908263,14.49743847023555,Mann-Whitney U,5730.0,0.09787788733133321
init_question,startup_b,event,128,136,13.164391576021146,13.745698379255941,Mann-Whitney U,8524.0,0.772194122203048
init_question,pooled,meeting,34,34,13.08521428125424,14.14940110679301,paired Wilcoxon,216.0,0.1681906844023615
