definition,team,member,init_share,talk_share,lift,is_facilitator
init_primary,startup_a,FACILITATOR,0.3962703962703963,0.46061508620004343,0.8603070288894045,True
init_primary,startup_a,A1,0.28205128205128205,0.2834081477987588,0.995212326258029,False
init_primary,startup_a,A2,0.21678321678321677,0.17988330003338826,1.2051325317190618,False
init_primary,startup_a,A3,0.1048951048951049,0.07609346596780947,1.3785034439025246,False
init_primary,startup_b,FACILITATOR,0.32644628099173556,0.4349094783764761,0.7506074188365925,True
init_primary,startup_b,B1,0.256198347107438,0.28270900132947524,0.906226352548495,False
init_primary,startup_b,B3,0.17355371900826447,0.09937827481035427,1.7463949675063368,False
init_primary,startup_b,DEVICE,0.128099173553719,0.09353738171580511,1.3694971059049212,False
init_primary,startup_b,B2,0.11570247933884298,0.08946586376788926,1.293258394498064,False
init_floor,startup_a,FACILITATOR,0.4382284382284382,0.46061508620004343,0.9513983613600472,True
init_floor,startup_a,A1,0.2680652680652681,0.2834081477987588,0.9458629547080443,False
init_floor,startup_a,A2,0.1958041958041958,0.17988330003338826,1.0885068028430236,False
init_floor,startup_a,A3,0.0979020979020979,0.07609346596780947,1.286603214309023,False
init_floor,startup_b,FACILITATOR,0.35330578512396693,0.4349094783764761,0.8123662570952994,True
init_floor,startup_b,B1,0.26239669421487605,0.28270900132947524,0.9281511836585394,False
init_floor,startup_b,B3,0.1590909090909091,0.09937827481035427,1.6008620535474753,False
init_floor,startup_b,B2,0.11776859504132231,0.08946586376788926,1.3163522943998152,False
init_floor,startup_b,DEVICE,0.10743801652892562,0.09353738171580511,1.1486104759202567,False
init_question,startup_a,FACILITATOR,0.5321888412017167,0.46061508620004343,1.1553873443272091,True
init_question,startup_a,A1,0.22317596566523606,0.2834081477987588,0.7874719460207894,False
init_question,startup_a,A2,0.17167381974248927,0.17988330003338826,0.954362187655134,False
init_question,startup_a,A3,0.07296137339055794,0.07609346596780947,0.958838876145075,False
init_question,startup_b,FACILITATOR,0.47509578544061304,0.4349094783764761,1.0924015434525665,True
init_question,startup_b,B1,0.1839080459770115,0.28270900132947524,0.6505206594489754,False
init_question,startup_b,B3,0.16475095785440613,0.09937827481035427,1.6578166422068,False
init_question,startup_b,B2,0.10727969348659004,0.08946586376788926,1.1991131473890095,False
init_question,startup_b,DEVICE,0.06896551724137931,0.09353738171580511,0.7373043373281223,False
