definition,team,n_meetings,tau,p
init_primary,startup_a,17,-0.12546210878484682,0.4833844270683305
init_primary,startup_b,17,0.5373732906238788,0.0029204829720201387
init_primary,pooled,34,0.1992717355746431,0.10495819832544385
init_floor,startup_a,17,0.2287838454311913,0.20122959569964927
init_floor,startup_b,17,0.34686583016987066,0.052660056620230204
init_floor,pooled,34,0.32183733303920936,0.0085322436367181
init_question,startup_a,17,-0.30716996957880865,0.08968220483466706
init_question,startup_b,17,0.30258508589286587,0.09096437004916687
init_question,pooled,34,0.08592450983493784,0.48456468538502906
