metric,cat,mpk,mbase,lift
rmse_g,arguable,2.45959595959596,2.3965187452180565,0.06307721437790326
rmse_g,disagree,0.24242424242424243,0.4039785768936496,-0.16155433446940715
rmse_g,iam2,0.35858585858585856,0.45122417750573834,-0.09263831891987978
rmse_g,disput,0.0,0.06885998469778118,-0.06885998469778118
rmse_g,explor,1.2171717171717171,1.3311017597551644,-0.1139300425834473
rmse_g,bdisagree,0.24242424242424243,0.4039785768936496,-0.16155433446940715
rmse_g,converge,1.5656565656565657,1.4540933435348125,0.11156322212175329
rmse_g,bagree,1.5101010101010102,1.3766258607498087,0.13347514935120142
rmse_g,baskinfo,0.4393939393939394,0.281752104055088,0.1576418353388514
rmse_g,cumul,1.2474747474747474,1.0874139250191277,0.1600608224556197
rmse_g,nonarg,1.2171717171717171,1.33530986993114,-0.11813815275942297
rmse_g,qset,0.7676767676767676,0.6710022953328233,0.09667447234394433
rmse_g,qprop,1.2474747474747474,1.0487758224942616,0.1986989249804858
rmse_g,feedback,1.2323232323232323,1.1576128538638102,0.07471037845942208
rmse_g,namep,0.6464646464646465,0.7846212700841622,-0.13815662361951564
rmse_g,names,0.8737373737373737,0.862088752869166,0.011648620868207726
rmse_g,proact,1.303030303030303,1.1664116296863045,0.13661867334399846
rmse_g,struct,1.2828282828282829,1.1097934200459068,0.17303486278237612
rmse_g,arguable,2.8556701030927836,3.074240331491713,-0.21857022839892926
rmse_g,disagree,1.0463917525773196,0.8661947513812155,0.18019700119610416
rmse_g,iam2,0.6855670103092784,0.5675069060773481,0.11806010423193025
rmse_g,disput,0.1958762886597938,0.04005524861878453,0.15582104004100927
rmse_g,explor,1.0618556701030928,1.285220994475138,-0.22336532437204526
rmse_g,bdisagree,0.6082474226804123,0.5390193370165746,0.06922808566383776
rmse_g,converge,2.3092783505154637,2.0203729281767955,0.2889054223386682
rmse_g,bagree,2.2371134020618557,1.7586325966850829,0.47848080537677284
rmse_g,baskinfo,1.1237113402061856,0.5994475138121547,0.5242638263940309
rmse_g,cumul,0.9742268041237113,0.9152279005524862,0.05899890357122517
rmse_g,nonarg,3.4690721649484537,2.0205455801104972,1.4485265848379565
rmse_g,qset,0.9278350515463918,0.7769337016574586,0.15090134988893322
rmse_g,qprop,2.216494845360825,1.262085635359116,0.9544092100017088
rmse_g,feedback,3.015463917525773,1.9656422651933703,1.0498216523324029
rmse_g,namep,0.6443298969072165,0.7864295580110497,-0.1420996611038332
rmse_g,names,0.7371134020618557,0.6279350828729282,0.10917831918892751
rmse_g,proact,1.8041237113402062,1.477900552486188,0.3262231588540183
rmse_g,struct,2.4536082474226806,1.7513812154696133,0.7022270319530672
rmse_g,arguable,2.98019801980198,3.4054432659595757,-0.4252452461575955
rmse_g,disagree,0.04950495049504951,0.3942365419251551,-0.3447315914301056
rmse_g,iam2,0.04950495049504951,0.4122473484090454,-0.36274239791399593
rmse_g,disput,0.0,0.018010806483890335,-0.018010806483890335
rmse_g,explor,0.8465346534653465,1.2085251150690415,-0.36199046160369497
rmse_g,bdisagree,0.0297029702970297,0.21492895737442466,-0.18522598707739496
rmse_g,converge,1.698019801980198,1.5259155493295977,0.17210425265060025
rmse_g,bagree,1.2821782178217822,0.9465679407644587,0.3356102770573235
rmse_g,baskinfo,0.8910891089108911,0.5763458074844907,0.3147433014264004
rmse_g,cumul,1.386138613861386,1.182509505703422,0.20362910815796398
rmse_g,nonarg,1.0693069306930694,0.7408445067040225,0.3284624239890469
rmse_g,qset,0.6386138613861386,0.5865519311586952,0.05206193022744343
