mid,stage,dur_s,entropy,det,rmse,reorg_rate,secs
2024.10.14startup_a,segue,70.0,54.2456006025726,75.82626167240343,9.052095477596108,8.571428571428571,70
2024.10.14startup_a,scorecard,576.0,33.90774736532559,83.7337016063884,7.258088753955792,4.513888888888888,576
2024.10.14startup_a,rock_review,207.0,39.68770155192537,73.79030755219443,8.792948528033394,11.11111111111111,207
2024.10.14startup_a,headlines,71.0,40.35118795478427,80.80871296018123,7.319591205536154,4.225352112676056,71
2024.10.14startup_a,todo,322.0,34.40166554401353,85.00737111970707,5.366223435048076,0.0,322
2024.10.14startup_a,ids,3787.0,35.799767632446994,83.74023311077381,6.6433150362655295,3.6968576709796674,3787
2024.10.14startup_a,conclude,297.0,34.83166824274337,87.13236203039685,4.876804239527957,0.0,263
2024.10.14startup_b,segue,473.0,46.304344478726144,76.89539285853152,9.961187704882951,8.0338266384778,473
2024.10.14startup_b,scorecard,173.0,37.611336275410906,72.92609723580877,9.683854003879446,1.1560693641618496,173
2024.10.14startup_b,rock_review,377.0,58.13780572451327,58.278466163271844,12.465463247238155,9.814323607427056,377
2024.10.14startup_b,headlines,254.0,34.39305402145902,76.46894948227416,6.636033744021389,0.0,254
2024.10.14startup_b,todo,262.0,54.8338264656435,50.80140528673984,11.054351725871792,6.870229007633588,262
2024.10.14startup_b,ids,3298.0,48.49439548692864,66.18630320620748,8.811010270717523,2.152819890842935,3298
2024.10.14startup_b,conclude,978.0,16.627262286321486,90.08453959955465,4.710352019297267,0.21164021164021166,945
2024.10.25startup_a,segue,405.0,26.79433845176801,90.88645634114316,6.192708257240836,5.432098765432099,405
2024.10.25startup_a,scorecard,56.0,37.62750683913689,88.58625774621927,5.7868020953133215,0.0,56
2024.10.25startup_a,rock_review,170.0,37.23865002724797,93.46148685268979,3.104698579561254,0.0,170
2024.10.25startup_a,headlines,708.0,32.940783911946006,87.28488057357464,5.942018172402442,0.0,708
2024.10.25startup_a,todo,257.0,41.68098727953196,72.82151102880582,10.236165672595188,15.17509727626459,257
2024.10.25startup_a,ids,3462.0,34.71762118179213,80.2330605617016,7.292773722496595,4.015020219526285,3462
2024.10.25startup_a,conclude,167.0,48.99750615531083,59.59931618238321,11.643892006610162,1.4925373134328357,134
2024.10.28startup_b,segue,261.0,34.21893887550531,84.88084009713523,7.389991956602844,5.747126436781609,261
2024.10.28startup_b,scorecard,287.0,36.35862018273226,72.24628824392566,9.002854818193702,8.013937282229964,287
2024.10.28startup_b,rock_review,572.0,28.78871682709837,87.55915850290918,6.121251958256426,2.797202797202797,572
2024.10.28startup_b,todo,360.0,43.62779721134994,76.43262897344832,8.336934147549204,2.5,360
