metric,n_pairs,mean_diff_T_minus_H,n_T_higher,wilcoxon_p,n_friedman,friedman_p
entropy_z,34,0.1742515222309689,21,0.0444720279192552,34,0.0009391003313704993
det_z,34,-0.3058283426302175,7,0.0002475236542522907,34,1.4540228399962822e-06
rmse_z_z,34,0.20111819843615522,24,0.004325810470618308,34,0.00032573976420112585
