feature,team,n,rho,p,q
h1_baseline_entropy,startup_a,17,0.16911764705882354,0.5164176230839818,
h1_baseline_entropy,startup_b,17,-0.37500000000000006,0.13803484396804858,
h1_baseline_entropy,pooled,34,-0.13216195569136746,0.4562216952505277,0.4562216952505277
h1_det_median,startup_a,17,-0.01715686274509804,0.947890881823222,
h1_det_median,startup_b,17,0.32107843137254904,0.208898183250939,
h1_det_median,pooled,34,0.15874713521772343,0.3698636283135759,0.4562216952505277
h1_event_rate,startup_a,17,-0.38970588235294124,0.12203439858782979,
h1_event_rate,startup_b,17,-0.6666666666666667,0.0034699602434103967,
h1_event_rate,pooled,34,-0.5877769289533995,0.000256965698397391,0.0007708970951921729
