mid,n_sp,infl_central,top_influencer_share,mean_entropy,mean_det,mean_rmse
2024.10.14startup_a,4,0.6713372679722724,0.8426745359445452,36.070877559876095,83.10555610478458,6.670950421112282
2024.10.14startup_b,4,0.6891597107365233,0.8783194214730465,42.653317645670874,70.20915706049757,8.634759968963952
2024.10.25startup_a,4,0.6461034135162176,0.7922068270324352,34.69568832516226,81.64151801232696,7.104044701789934
2024.10.28startup_b,4,0.30686896096727456,0.39496014467390045,34.532439357889764,80.72260632777844,7.182234019914661
2024.11.04startup_a,4,0.6703133386000693,0.8406266772001384,28.856233648758778,87.22161855027665,6.033832788644676
2024.11.04startup_b,4,0.510916261999296,0.521832523998592,38.68585429182432,80.31846929565677,7.32447270175156
2024.11.11startup_a,4,0.6486948146858864,0.7973896293717725,35.34070129009611,82.51532152820782,7.00745206383076
2024.11.11startup_b,4,0.62909426327931,0.75818852655862,39.02349023028512,76.52525214692541,7.929547904549059
2024.11.18startup_a,4,0.5490174456701002,0.5980348913402007,26.916406361407567,88.41368646054187,5.32509147283559
2024.11.18startup_b,4,0.47588218279170036,0.6282290960255899,35.52272714114866,80.28166284499014,7.329260044379226
2024.12.02startup_b,4,0.6833690444426301,0.86673808888526,50.08657397352948,56.33863601467668,9.994006894257181
2024.12.09startup_a,4,0.6566931130250699,0.8133862260501403,34.78273607805484,81.29245795306758,7.16831959435995
2024.12.13startup_a,3,0.5228529825507591,0.7842794738261378,42.771329497611404,82.79302762709038,6.92555202609921
2024.12.16startup_b,4,0.4248501391662296,0.4708040459079337,40.06271543483765,75.98139291503786,8.503005988272049
2024.12.23startup_a,4,0.5442647045594127,0.5885294091188251,32.51051742275842,84.21185449593503,6.582152027735612
2024.12.23startup_b,4,0.5994272908172162,0.7609336646000462,33.05969152086926,79.91174519143348,7.836778148854064
2025.01.06startup_a,3,0.45456799617551247,0.6818519942632686,48.84009551679102,78.18227505061762,7.430107234338185
2025.01.06startup_b,3,0.4543223251128956,0.6814834876693434,43.19104771553051,82.89410156468193,6.709324462177818
2025.01.13startup_a,4,0.5839217179389109,0.7216108138445638,28.564292803555716,88.08328553930033,5.564287548469314
2025.01.13startup_b,4,0.6586885139970202,0.8173770279940402,29.81886967907249,83.97107947858053,6.741567934603385
2025.02.10startup_b,3,0.5567049444419134,0.8350574166628699,48.479797959475114,78.88037137517158,7.837432706039804
2025.02.24startup_a,4,0.6727255781507342,0.8454511563014679,33.08432242655857,82.89865924828592,7.3412991068008795
2025.02.24startup_b,4,0.6510690118132485,0.8668306629643273,31.95847801500829,84.99589421340423,6.63591641547947
2025.03.02startup_a,4,0.6283814463742858,0.7569462366782028,28.35486065981398,87.02394887152992,5.603259386278183
2025.03.17startup_a,4,0.5750917216465117,0.650183443293023,30.29261976517391,86.02164745659117,5.999509997569453
2025.03.17startup_b,4,0.6447383755577301,0.8371804499724369,37.807667857625354,74.64742480175411,8.034780111003148
2025.03.24startup_b,4,0.7180915264996162,0.9361830529992322,40.662603391302575,72.90365701936064,8.545997079377209
2025.03.25startup_a,4,0.5422790859198334,0.5845581718396666,28.964633849099457,87.66582085365212,5.5113212944316405
2025.03.31startup_a,4,0.575869245248033,0.651738490496066,31.50189907125147,85.10643726819335,6.148102990379254
2025.03.31startup_b,4,0.6817336804399448,0.8634673608798895,27.603859288519832,87.1885341384439,5.752020413209131
2025.04.07startup_a,3,0.22038609597000658,0.4733894943941031,36.05239789117962,82.89440108056102,6.582625438439945
2025.04.07startup_b,4,0.6824830983489525,0.8725580887188774,41.426015534983094,72.44407270210058,9.15169185650981
2025.04.14startup_a,3,0.5374264234571899,0.8575384253182254,34.28643985530164,87.33061171629585,5.945755952754409
2025.04.14startup_b,4,0.6391492056951453,0.7782984113902909,31.695289029835696,85.7036625329863,6.4336114275308285
