mid,bin,entropy_g,det_g,rmse_g,liwc_lsm,liwc_posemo,liwc_negemo,liwc_cogproc
2024.10.14startup_a,0,43.2546802953239,62.56207384106329,6.189409046145435,0.4583987965400617,0.20872579801151228,0.0,0.17017268445839875
2024.10.14startup_a,90,43.805555899535726,72.07013806667351,6.857969266192371,0.4257984481993501,0.25881666123601604,0.008461047254150703,0.054398920611378895
2024.10.14startup_a,180,46.23488367367145,87.01284641673092,8.262234502259401,0.35038959581799733,0.27728972416472414,0.0,0.19164724164724165
2024.10.14startup_a,270,49.62588899203279,69.9401387964665,9.940245200639595,0.6369051429386179,0.10533910533910533,0.002066115702479339,0.158069289665742
2024.10.14startup_a,360,28.361665808469095,95.32461463688949,6.8038926312499255,0.7168786888723252,0.004830917874396135,0.0,0.18109917074720386
2024.10.14startup_a,450,14.794786200517981,96.14973897562767,4.437520183105506,0.4085308194107256,0.21022988505747126,0.010114942528735632,0.1713793103448276
2024.10.14startup_a,540,37.86027369367796,75.49555316608891,9.14042016131832,0.412062398082095,0.06747565370753776,0.0030864197530864196,0.1683306494900698
2024.10.14startup_a,630,26.540426551688576,88.86397911557813,5.937500399144091,0.4137554695883912,0.07217261904761905,0.0026041666666666665,0.4055059523809524
2024.10.14startup_a,720,45.99296319108938,71.20510802661262,8.05475066936087,0.5223929823915726,0.028846153846153848,0.004807692307692308,0.10518274460582154
2024.10.14startup_a,810,37.23024459487116,78.98928872154151,6.1899780953786845,0.5526263039442904,0.03333333333333333,0.02213114754098361,0.18468977119377425
2024.10.14startup_a,900,38.266326691316834,72.23791218945394,11.721514549093481,0.47426721723524135,0.04232323232323232,0.0,0.16946608946608946
2024.10.14startup_a,990,44.40275372226062,74.81267500361388,7.41429667127544,0.5151273251264212,0.011932296047098402,0.020198170731707318,0.15210567872937147
2024.10.14startup_a,1080,41.59971120461569,76.61805822424962,6.572475578575645,0.4354126408233825,0.05373376623376624,0.014204545454545454,0.1929812834224599
2024.10.14startup_a,1170,39.495901598413276,84.9431634737273,6.159171445678002,0.3627533185957144,0.01068763863682194,0.0029948608895977316,0.2852903788895998
2024.10.14startup_a,1260,19.81220462254,94.87464711104502,3.6153601969843066,0.44787108950363136,0.054922854922854925,0.004273504273504273,0.1350843600843601
2024.10.14startup_a,1350,42.76177491133315,74.65291162822777,7.835800734853817,0.3991065370523635,0.1691358024691358,0.012345679012345678,0.16281712115045446
2024.10.14startup_a,1440,49.38085060819599,70.66256255859976,8.139245653203853,0.5632080827257585,0.04279034690799396,0.016176470588235296,0.16620663650075415
2024.10.14startup_a,1530,37.42719195443669,92.39675658410287,3.2793296139290704,0.5223548691902006,0.0217365350698684,0.0047619047619047615,0.13954144620811287
2024.10.14startup_a,1620,28.426685045853038,93.3869480925423,5.112861243621747,0.5679862770480338,0.053030303030303025,0.006493506493506494,0.13442807192807193
2024.10.14startup_a,1710,39.50505582425079,89.41771446698891,5.089911817217348,0.5888724130396051,0.02414021164021164,0.008333333333333333,0.13313492063492063
2024.10.14startup_a,1800,33.588204546466685,90.06497525083088,4.425493002105322,0.5492938566302052,0.04815518269465638,0.007833920877399139,0.17648381166687802
2024.10.14startup_a,1890,34.84117896022938,76.54060976244455,8.980071964282006,0.3782291212588991,0.021591161315615965,0.001183431952662722,0.2570800845198089
2024.10.14startup_a,1980,32.55537240783178,90.51099905314942,5.257367560791441,0.4736307096914717,0.023919753086419752,0.010869565217391304,0.2533424958696698
2024.10.14startup_a,2070,20.973461074646394,95.67420991431078,5.552550028584509,0.798466327228977,0.018518518518518517,0.022222222222222223,0.15360623781676414
2024.10.14startup_a,2160,46.580928909400455,80.63499822076615,8.991540014065531,0.3822581819682494,0.02564473792788207,0.002070393374741201,0.2703119219610974
2024.10.14startup_a,2340,31.17189164767436,81.20450146160988,7.080875898756343,0.46915818432755646,0.0,0.031168831168831172,0.14817855889284462
