handoff,opening,question,new_voice,convergence,roundrobin,n_spk_peri,mid,c,primary
1,0,0,0,0,0,2,2025.03.31startup_b,5379.5,handoff
0,1,1,0,0,0,1,2025.03.31startup_b,5731.0,question
0,1,1,0,0,0,2,2025.03.31startup_b,5755.0,question
0,0,1,0,0,0,2,2025.03.31startup_b,5941.0,question
0,0,1,0,0,0,1,2025.03.31startup_b,6109.0,question
1,0,1,0,0,1,3,2025.03.31startup_b,6205.0,handoff
0,1,0,0,0,0,1,2025.04.07startup_a,278.5,opening
0,0,1,1,0,1,3,2025.04.07startup_a,320.0,new_voice
1,0,1,0,0,0,2,2025.04.07startup_a,598.0,handoff
1,0,1,0,0,0,2,2025.04.07startup_a,620.5,handoff
1,0,1,0,0,0,1,2025.04.07startup_a,1191.0,handoff
1,1,1,0,0,1,3,2025.04.07startup_a,1747.5,handoff
0,0,0,0,0,1,3,2025.04.07startup_a,1782.5,roundrobin
0,0,1,0,0,0,2,2025.04.07startup_a,2246.0,question
1,1,0,1,0,0,2,2025.04.07startup_a,2533.5,handoff
0,0,1,0,0,0,2,2025.04.07startup_a,2994.0,question
1,0,0,0,0,0,2,2025.04.07startup_a,3019.0,handoff
0,0,0,0,0,0,1,2025.04.07startup_a,3494.0,other/diffuse
1,1,0,0,0,0,2,2025.04.07startup_a,3680.25,handoff
0,0,1,0,0,0,2,2025.04.07startup_a,3785.0,question
1,0,0,0,0,0,2,2025.04.07startup_a,3833.0,handoff
1,0,0,0,0,0,1,2025.04.07startup_a,3974.0,handoff
0,0,1,0,0,0,2,2025.04.07startup_a,5083.0,question
0,0,1,0,0,0,2,2025.04.07startup_b,99.0,question
0,0,0,0,0,0,0,2025.04.07startup_b,1342.0,other/diffuse
1,0,1,0,0,0,2,2025.04.07startup_b,2174.0,handoff
1,0,0,0,0,1,3,2025.04.07startup_b,3328.0,handoff
1,0,1,1,0,1,4,2025.04.07startup_b,3965.5,handoff
0,0,0,0,0,0,1,2025.04.07startup_b,4152.0,other/diffuse
0,1,0,0,0,0,2,2025.04.07startup_b,4363.5,opening
0,1,1,0,0,0,2,2025.04.07startup_b,4751.0,question
1,0,1,0,0,0,2,2025.04.07startup_b,4865.0,handoff
0,0,0,0,0,0,1,2025.04.07startup_b,4918.0,other/diffuse
0,1,1,1,0,1,3,2025.04.07startup_b,5029.428571428572,new_voice
1,0,1,0,0,0,2,2025.04.07startup_b,5331.0,handoff
0,1,0,0,0,0,1,2025.04.07startup_b,5380.0,opening
0,0,0,0,0,0,0,2025.04.07startup_b,6035.0,other/diffuse
0,0,0,0,0,0,2,2025.04.07startup_b,6308.0,other/diffuse
0,0,1,0,0,0,2,2025.04.14startup_a,417.5,question
1,0,1,0,0,0,2,2025.04.14startup_a,506.14285714285717,handoff
0,0,0,0,0,0,0,2025.04.14startup_a,585.5,other/diffuse
0,0,0,0,0,0,1,2025.04.14startup_a,679.5,other/diffuse
0,0,0,0,0,0,2,2025.04.14startup_a,2188.0,other/diffuse
1,1,0,1,0,0,3,2025.04.14startup_a,2244.0,handoff
1,0,0,0,0,0,2,2025.04.14startup_a,3121.0,handoff
1,0,1,1,0,0,2,2025.04.14startup_a,3561.0,handoff
1,0,0,0,0,0,2,2025.04.14startup_a,3617.0,handoff
0,0,1,0,0,1,3,2025.04.14startup_a,4389.5,question
1,0,1,1,0,0,2,2025.04.14startup_a,4696.0,handoff
0,0,1,0,0,0,2,2025.04.14startup_a,4846.0,question
1,0,1,0,0,0,2,2025.04.14startup_a,5046.0,handoff
1,0,1,0,0,0,1,2025.04.14startup_a,5208.0,handoff
0,0,1,0,0,0,2,2025.04.14startup_a,5416.0,question
1,0,1,0,0,1,3,2025.04.14startup_a,5630.5,handoff
1,1,0,0,0,0,2,2025.04.14startup_b,730.5,handoff
0,0,1,0,0,0,2,2025.04.14startup_b,779.0,question
1,0,1,1,0,1,3,2025.04.14startup_b,1164.0,handoff
1,0,1,0,0,1,3,2025.04.14startup_b,1193.5,handoff
0,0,1,0,0,0,2,2025.04.14startup_b,2409.0,question
1,0,0,1,0,0,2,2025.04.14startup_b,2572.5,handoff
1,0,1,0,0,0,2,2025.04.14startup_b,2699.0,handoff
0,0,0,0,0,0,1,2025.04.14startup_b,2760.0,other/diffuse
1,0,1,0,0,1,3,2025.04.14startup_b,3317.5555555555557,handoff
0,0,0,0,0,0,2,2025.04.14startup_b,3833.0,other/diffuse
0,1,0,1,0,1,4,2025.04.14startup_b,3986.5,new_voice
