definition,n,observed_leader_share,null_mean,null_sd,null_ci_lo,null_ci_hi,p_perm_two_sided
init_primary,909,0.2816281628162816,0.27504510451045106,0.013951448558373653,0.2474972497249725,0.30145764576457645,0.686
init_floor,909,0.28272827282728275,0.2741716171617162,0.014730991297631708,0.24532453245324531,0.3025302530253025,0.608
init_question,494,0.27125506072874495,0.2756862348178138,0.018911832029521774,0.2408906882591093,0.31376518218623484,0.872
