cat,team_a_contrast,team_b_contrast
arguable,-0.10044791585419377,-0.24888548052689016
bagree,0.20897097827952513,0.20222181723369553
baskinfo,0.008007303860929238,0.18855591985453588
baskopin,-0.05799803833161968,-0.03618454031362664
basksug,0.0015834758560961462,0.0015844926593349233
bdisagree,-0.06883789292877823,-0.1496315485212887
bgiveinfo,0.002885844033026788,0.05057066745675637
bgiveopin,-0.058915747365936855,-0.3189293101101616
bgivesug,-0.12708369410937803,-0.13100655213717524
bsolid,-0.03593554269734979,0.09254147437804193
btensh,0.011968317407177527,0.01837484775107713
btension,0.04487509309980735,0.024294505450613534
commissive,0.053290926783069945,0.050158315842736556
converge,0.10267400244561853,0.098599452673763
coop,0.01624515016299305,0.05018299748051297
cprod,-0.02502275709194194,0.04076400121252254
cumul,0.06968003322230752,0.0348625093463507
delim,-0.12121572395189684,-0.21346455425189817
directive,-0.022541650250559597,-0.030152364319807987
disagree,-0.015737188514547307,-0.13141761846980876
disput,-0.033888473408985334,0.001705008308023781
explor,-0.15815277318168156,-0.3229216555261238
feedback,0.24128889121304672,0.15928745785228848
ginfo,0.0822856588805902,0.05069293220013396
iam1,-0.04528645094599251,-0.03687763708875172
iam2,-0.050938783140449556,-0.14680542629466525
iam3,-0.17261509244304923,-0.1920472219898798
iam4,0.027562062970498902,-0.05930829692759415
iam5,0.11380311167619193,0.04072780266140305
ktrans,-0.057121949455560955,-0.14442476574969193
linkc,-0.05008174869769834,-0.0823992600408118
linkp,-0.07527036739207241,-0.11267916127420029
links,-0.1010384669274064,-0.1912729407944467
namep,-0.08174034384120123,-0.22149430862508473
names,-0.1500284199352294,-0.14672893856421718
nonarg,0.09239046525105843,0.557201941228867
proact,0.006290886087569031,0.00025032355335249945
qprop,0.10141334550740472,0.13930944859527644
qset,-0.116092251805077,-0.034807987921138345
struct,0.25146420696888394,0.09093383585349907
