cat,n,mean_delta,p,q_fdr
bagree,32,0.07027461825815193,0.1437781504355371,0.23004504069685935
btensh,32,0.06204754685860207,0.03248823946341872,0.06497647892683744
pos,32,0.057365667220596495,0.3896126742474735,0.4452716277113983
btension,32,-0.003757982030998107,0.9753865135681143,0.9753865135681143
bantag,32,-0.007908363765533239,0.017960477526078763,0.04789460673621004
neg,32,-0.03166744495499428,0.00821894562212488,0.03287578248849952
bsolid,32,-0.042633861062387104,0.2476009312007299,0.33013457493430653
bdisagree,32,-0.09296913227342232,0.0027503338642418385,0.022002670913934708
