label,n,pre,at,post,at_minus_pre,p_at_minus_pre,p_null_at_minus_pre,post_minus_at,p_post_minus_at,p_null_post_minus_at
positive composite,34,0.868235086385634,0.9174913112215243,0.8672613586686662,0.04925622483589042,0.010655494872480631,0.001,-0.05022995255285819,0.014553519897162914,0.0
negative composite,34,0.11185318951127676,0.13809530745172158,0.14651238388652546,0.026242117940444797,0.0024140621525473387,0.0005,0.008417076434803883,0.278105097103994,0.2735
bagree,34,1.2351381454885484,1.3686868698246553,1.2430003989855118,0.1335487243361069,0.0005412695793090823,0.0,-0.12568647083914342,0.00254498974747202,0.0
pos (act4teams),34,1.175886807547044,1.2387764272824944,1.190059578949678,0.0628896197354504,0.02817197701676529,0.0115,-0.048716848332816746,0.10592306187943175,0.0375
bsolid,34,0.9603114826332098,0.9518159132499799,0.9285391798692826,-0.008495569383229915,0.4914220969793879,0.6945,-0.02327673338069735,0.43771540138855636,0.2965
