cat,valence,n,mean_lift,ci_lo,ci_hi,pos_meetings,p,q_fdr
bagree,+,34,0.2648969348903806,0.18492708781298084,0.34590038201162926,31,2.0244624465703964e-07,1.4171237125992775e-06
pos,+,34,0.2078913819200871,0.10388853046264701,0.3352536358145733,28,5.627400241792202e-05,0.00019695900846272707
bsolid,+,34,0.148332955843782,0.07875068974648411,0.2283223757340011,27,0.0001264970051124692,0.0002951596785957615
btensh,-,34,0.054495066370488676,0.016788360557510016,0.09551707952448174,22,0.02860867523122579,0.05006518165464513
btension,+,34,0.047394627944331004,0.009007511342694636,0.08611518434846438,17,0.14300302835181355,0.16683686641044915
bdisagree,-,34,0.045150584309755104,0.0021054432506430474,0.08911792328690492,22,0.07518593384884298,0.10526030738838017
neg,-,31,0.018837324588203124,-0.009706337017382632,0.05434191864323495,16,0.5948144253343344,0.5948144253343344
