mid,positive_composite_lift,negative_composite_lift,diff
2024.10.14startup_a,0.09121993676507159,-0.053071749144433786,0.14429168590950536
2024.10.14startup_b,0.16203600971996887,-0.02482193395368466,0.18685794367365352
2024.10.25startup_a,0.12296426332672453,-0.03797761710590527,0.1609418804326298
2024.10.28startup_b,0.009101420548397701,-0.044156836834502555,0.053258257382900256
2024.11.04startup_a,0.154474411472727,0.01672463656398755,0.13774977490873946
2024.11.04startup_b,0.11254236380217249,0.011096681360623842,0.10144568244154864
2024.11.11startup_a,0.024220765510461262,0.05364247586748396,-0.0294217103570227
2024.11.11startup_b,0.24487393349376502,0.19582512943921826,0.04904880405454676
2024.11.18startup_a,-0.05408920433923453,0.11775618018308666,-0.17184538452232118
2024.11.18startup_b,0.27862485224787037,-0.025315997083452214,0.3039408493313226
2024.12.02startup_b,-0.03757332486695693,0.06191793662312531,-0.09949126149008224
2024.12.09startup_a,0.13572482470259567,0.057343989935431355,0.07838083476716431
2024.12.13startup_a,0.33532596244832913,0.009594767335690679,0.3257311951126384
2024.12.16startup_b,0.1310244502411938,0.07783015098187769,0.05319429925931611
2024.12.23startup_a,0.2513488037597813,-0.01294003212071707,0.2642888358804984
2024.12.23startup_b,0.28375459688382965,-0.08582781498443168,0.36958241186826135
2025.01.06startup_a,0.12077255711888471,0.07304209924579101,0.0477304578730937
2025.01.06startup_b,0.2580405833541177,0.022962743260824148,0.23507784009329358
2025.01.13startup_a,0.1567650691760878,0.09806113489461127,0.05870393428147652
2025.01.13startup_b,0.15457137601177331,0.07224383008047468,0.08232754593129864
2025.02.10startup_b,0.31027414753193006,0.19601654038722782,0.11425760714470223
2025.02.24startup_a,0.177321353949018,0.04667303444570473,0.13064831950331326
2025.02.24startup_b,0.5254654395750884,0.01126680585707708,0.5141986337180113
2025.03.02startup_a,0.16640006537712654,-0.026463168516649843,0.19286323389377638
2025.03.17startup_a,0.10474888618874036,0.1413283980618934,-0.036579511873153045
2025.03.17startup_b,0.32187522989774153,-0.04733229831784615,0.36920752821558767
2025.03.24startup_b,0.06352681602172436,0.01237721549088872,0.051149600530835636
2025.03.25startup_a,-0.011046708550704887,0.05046289985694439,-0.061509608407649276
2025.03.31startup_a,0.16444564187088317,-0.025581028538998865,0.19002667040988203
2025.03.31startup_b,0.011398608768971308,0.1536677908937605,-0.1422691821247892
2025.04.07startup_a,0.13899386805488123,-0.013378619602805298,0.15237248765768652
2025.04.07startup_b,0.0194778019103669,0.1354464139751045,-0.11596861206473762
2025.04.14startup_a,0.5833290541234466,-0.0672128494558401,0.6505419035792868
2025.04.14startup_b,0.17045129899116152,0.07270035413504748,0.09775094485611403
